,title,category,intro,url
48,친절한 미디 작곡 입문서 <비트메이킹 1:1 레슨>,출판,개인 레슨을 받는 듯한 친절한 비트메이킹 입문서. 어려운 이론은 덜고 핵심만 채웠습니다.,https://tumblbug.com/beatmakinglesson
49,네이버웹툰 <당신의 과녁> 1-5권 완결판 단행본 제작,웹툰 · 만화,네이버웹툰 <당신의 과녁>의 완결까지의 분량이 단행본 1-5권까지 제작됩니다.,https://tumblbug.com/gotaeho
50,QR을 찍으면 영상으로 해석해 주는 타로카드 <타로메이트>,디자인,카드를 뽑고 QR을 스캔해 주세요. 8년 경력의 타로 마스터가 모든 운을 해석해 드립니다.,https://tumblbug.com/selftarotcard
51,당신만 초대받았어요. 비밀의 유니콘 마법 포션 향수,향수 · 뷰티,근심 걱정을 날려주는 아기유니콘의 마법 포션 3종 향수,https://tumblbug.com/unicornperfume
52,"내가 완성하는 매거진북, __는 이렇게 말했다",출판,"스스로 완성하는 단 하나뿐인 잡지, 질문북이자 인터뷰북, '__는 이렇게 말했다'",https://tumblbug.com/zzara_said
53,이번 새해선물은 겨울입니다.<겨울 한 권><겨울 한 박스>,홈 · 리빙,"시리도록 아름다운 겨울은 생각보다 포근하더랍니다.
이 계절을 느끼면서 살아가세요.",https://tumblbug.com/littleforest_winterbox
54,"1인 가구 생활백서, <혼자서도 잘살 수 있어!>",출판,1인 가구에게 필요한 정보와 낭만을 담은 가이드북,https://tumblbug.com/life_is_good
55,2022년 수묵 담채 호랑이 탁상용 캘린더 2종 ,디자인 문구,"2022년 임인년 호랑이해를 맞이하여, 호랑이를 수묵 담채화로 그린 22년 캘린더 입니다.",https://tumblbug.com/tiger
56,[달콤하지만 당이 1g이하!] 저당 햇땅콩 카카오 그래놀라,푸드,"국산 원물을 제품에 에센스로 사용하는, 추수의 두번째 수확물 ""땅콩 카카오 그래놀라""",https://tumblbug.com/choosoogirok
57,"<천라사신단> 모집! 망토제복과 휘장, 보구를 갖춰보세요.",디자인 문구,"악의적으로 작품을 배포하는 사악한 자들을 심판, 이계의 질서를 바로잡는 비밀조직 천라사신단",https://tumblbug.com/chunla4sindan
58,<금목서 > 세이렌의 노래 그 찬란한 아름다움,향수 · 뷰티,가을에 울려퍼지는 세이렌의 황금빛 노래 그 찬란한 아름다움,https://tumblbug.com/osmanthus
59,"버려진 오렌지 껍질에서 발견한 희망, 제3회 구지독립영화제",영화 · 비디오,아트하우스 모모에서 개최되는 GUJIFF의 제3회 <구지독립영화제 : Oinh>,https://tumblbug.com/3rd_gujifilmfestival
60,카카오를 70시간 맷돌에 갈아만든 찐 생초콜릿 케이크,푸드,싱글오리진 과테말라 카카오로 만든 빈투바(Bean to Bar)생초콜릿 케이크,https://tumblbug.com/sanbo
61,"2022년, 꽃길만 걷자! 조선의 꽃을 담은 [복조리백]",잡화,"눈앞에 펼쳐진 조선의 꽃밭, 19세기 화조도의 꽃들을 담은 미니 복조리백",https://tumblbug.com/giustobag2022
62,"감싸안고 싶은 포근함, 호텔에서 느껴본! 4계절 고밀도침구",홈 · 리빙,차원이 다른 고밀도 원단 이불과 마이크로 화이바 항균솜으로 포근한 잠자리를 선물해드릴게요!,https://tumblbug.com/onnbysoi
