,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
3483,< 날고 싶은 거북이 > 함께 행복한 사회를 그려요:),"6,124,000",612,배송 완료,108명
3484,"고민의 시간《잠이 오지 않는 밤에도, 내가 함께 있어줄게》","12,247,770",612,배송 완료,681명
3485,성균관대학교 퀴어홀릭의 퀴문축 굿즈! <배지와 스티커>,"6,122,500",612,"1,000,000",387명
3486,비수도권 탐방기 <지역의 사생활99>,"30,612,100",612,배송 완료,792명
3487,"[하비인더박스] 첫 번째 취미 프로젝트, DIY 네온사인","12,237,567",611,"2,000,000",352명
3488,"'퐁당' 마음을 담아 전해요, 이어링 DIY 키트","734,000",611,"120,000",17명
3489,상상을입다! 초.능력캔들동화,"6,116,000",611,배송 완료,112명
3490,웹툰 배경 프로젝트 04.-로판 서양 저택 패키지-스케치업,"6,115,000",611,배송 완료,95명
3491,애도 만화 에세이 <충분히 슬퍼할 것>,"12,228,000",611,"2,000,000",625명
3492,완벽한 도예인을 위한 <수축률자>,"13,138,000",611,배송 완료,432명
3493,"허브, 몸과 마음을 치유하는 향긋한 식물 100가지","12,221,000",611,"2,000,000",390명
3494,선물 같은 케익을 만드는 '유나토케익',"2,566,000",610,"420,000",116명
3495,카드캡터 체리 클리어카드편 굿즈,"61,054,000",610,"10,000,000","1,151명"
3496,뽀짝뽀짝 <토심이> 봉제인형,"15,252,000",610,"2,500,000",528명
3497,봉봉이와 바다 친구들 : 1+1 컬러링북,"610,000",610,"100,000",39명
3498,당신은 혼자가 아닙니다 #MeToo #WithYou,"7,319,000",609,"1,200,000",638명
3499,액션 웹툰의 동반자 조합형 백색 임팩트,"6,707,000",609,"1,100,000",210명
3500,< 2018년 꽃길만 걸으시 개 > 자수 양말 & 타올,"3,047,000",609,배송 완료,49명
3501,웹툰 스케치업 - 안경과 신발,"6,092,000",609,배송 완료,228명
3502,사지 않고 입양하는 문화를 만드는 '포인핸드 매거진' 3호,"24,362,271",609,배송 완료,"1,138명"
3503,[유기견] 더 나은 라이프를 위해 라이프가 나서다,"3,045,000",609,배송 완료,43명
3504,그것은 하나의 여행이었다_미국 횡단 캠핑여행,"3,045,000",609,배송 완료,69명
3505,"말로 된 타로카드, 말로 - 오리지널 2차 에디션","9,133,000",608,"1,500,000",327명
3506,부드러운 '오버 셔츠'와 동절기용 '로브 하프코트',"3,043,000",608,배송 완료,44명
3507,"데일리아이템의 정석 ""실버 반지 kit"" 두번째 이야기","608,500",608,"100,000",31명
3508,[!재오픈!] 2021 뮤지컬 <그럼에도 불구하고>,"6,081,000",608,"1,000,000",161명
3509,[웹툰배경] 조선시대 최고의 기방 '풍화정',"6,077,600",607,배송 완료,93명
3510,"자라라, 이야기의 씨앗!","4,253,000",607,"700,000",375명
3511,감각적인 공간 연출을 위한 디자인 오브젝트,"6,075,000",607,배송 완료,121명
3512,보송보송 당신의 친구 <올망똘망 고양이 동전지갑>,"12,148,000",607,배송 완료,662명
3513,우리의 페미니즘 폰케이스,"1,822,000",607,배송 완료,85명
3514,"오늘도 얕은 잠을 자는 당신에게, 깊은 잠을 보내드릴게요","3,034,700",606,"500,000",39명
3515,심리학 문구 브랜드의 신작! <노프라블럼> 일상 고민 패드,"30,335,900",606,배송 완료,820명
3516,"도시생활자의 무해한 일상, 제로웨이스트 키트 '얼스박스'","6,066,000",606,"1,000,000",198명
3517,고양이와 함께 하는 1년-2019 고양이 일러스트 달력,"6,065,000",606,"1,000,000",228명
3518,"크리스마스를 위한 가장 아름다운 선율, 캐롤 DIY 오르골","7,277,250",606,"1,200,000",140명
3519,천안대학교 민속학연구동아리 활동보고서 #벌명당산,"9,096,000",606,배송 완료,603명
3520,슬기로운 스피치 생활,"6,061,000",606,배송 완료,62명
3521,"신나고 신기한 고양이 마을 싕냥타운 이야기, <싕냥툰>","18,182,000",606,"3,000,000",732명
3522,'재주' 담은 '제주' 굿즈,"3,636,000",606,"600,000",153명
3523,리플랫 기획전: 최지수 개인전,"3,029,000",605,배송 완료,150명
3524,심플하면서 실용적인 디자인의 토트백,"6,055,500",605,"1,000,000",311명
3525,"초보 창작자에게 꼭 필요한 <그림책, 에세이 창작 워크북>","6,054,000",605,배송 완료,431명
3526,"시들지 않는 꽃을 담다, <조각꽃 네크리스>","6,054,000",605,배송 완료,46명
3527,"폭력을 지나치는 세 여성의 이야기, <동파>","3,027,000",605,배송 완료,162명
3528,"우주 속 작은 여행, 만화 <털복숭이와 보석>","3,328,500",605,배송 완료,133명
3529,웹툰 배경 번화가 3종(A/ B / C모델) 스케치업 모델,"6,050,000",605,배송 완료,66명
3530,판타지 시리즈 - 영주의 저택,"6,050,000",605,배송 완료,121명
3531,영원한 우리 땅 '독도'를 지켜주세요.,"1,210,000",605,"200,000",122명
3532,옛날 우리의 이야기로 가족사랑을 선물하는 컬러링 동화책,"3,024,000",604,배송 완료,53명
3533,모던한 우리의 한벌옷 [모던한원피스+사방신크롭티],"6,440,000",604,배송 완료,71명
