,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
98,2022년 나와의 약속을 각인시켜 줄 '작심반지',"1,384,000",276,"500,000",31명
99,"로판, 아르누보풍 클립스튜디오 창작 소재 100종","13,888,000",1388,"1,000,000",409명
100,"트랜스들의 이야기, [트랜스젠더도 마라탕을 좋아하나요?]","2,833,500",101,"2,800,000",172명
101,조주(Jojoo) 첫 EP앨범 [지도] 제작,"2,527,000",101,"2,500,000",82명
102,"에이미, 끔찍한 악몽의 굴레에서 벗어나게 해줄게!","3,039,800",202,"1,500,000",72명
103,"크림 도구점의 빨간포션, 파란포션 [Must have!]","1,237,400",247,"500,000",66명
104,이 한정판 구성은 지금뿐. <제자와 연인 사이>,"4,511,200",151,"2,970,000",142명
105,믿고쓰는 샴푸바! 환경과 두피를 생각하는 비건 고체 샴푸,"3,581,800",358,"1,000,000",62명
106,이번 겨울 포근하게 안아줄 사과 블렌딩티 <허그미애플티>,"2,017,300",403,"500,000",90명
107,"음양사 아베노 세이메이의 비전, 점사략결의 최초 완역본","51,990,000",1039,"5,000,000",421명
108,제주 바닷가 작은 집 이야기 <윤시 아야>,"1,599,000",319,"500,000",36명
109,"세상에 남기는 나의 마지막 기록, 유서 노트","3,548,000",354,"1,000,000",164명
110,전설의 체스 그랜드마스터 카파블랑카의 책 '체스의 기본',"1,738,000",173,"1,000,000",93명
111,"지금 이 순간의 감정을 담은 다이어리, <EMO-MENT>","5,380,450",179,"3,000,000",93명
112,쉴때도 불안한 당신을 위하여 <Vinyl : 비효율모음집>,"3,405,000",130,"2,600,000",122명
113,카페에서 다각도로 사용가능한 엑스트라입니다.,"299,600",59,"500,000",56명
114,목포 바다를 지켜요 ! 100% 국내 리사이클링 나들이가방,"2,411,000",120,"2,000,000",51명
115,[용기내 챌린지]귀여운 수달캐릭터를 담은 빵순이 식빵용기,"1,959,300",391,"500,000",96명
116,고~백 쿠키! 고백해!,"3,943,600",394,"1,000,000",122명
117,나랑 손씻으러 가지 않을래? 너를 위해 준비했어 '캡슐솝',"5,723,000",572,"1,000,000",134명
118,아르누보 시그림책<멀고도 가까운 노래들>1900년초판 복간,"14,384,000",287,"5,000,000",227명
119,네이버웹툰 < 아홉수 우리들> 문구 세트,"4,641,000",46,"10,000,000",101명
120,호기와 려니의 주황빛 청주여행 <청주화투>,"1,695,000",169,"1,000,000",47명
121,발달장애인과 함께 더불어 꿈꾸는~ 향기 담은 보습 비누!!,"1,873,350",374,"500,000",47명
122,뉴에이지 아티스트 웨일의 첫 번째 정규앨범,"3,109,000",124,"2,500,000",43명
123,SF영화 속 괴물들의 해부도해 <SF 괴수괴인 도해백과>,"8,318,800",554,"1,500,000",370명
124,세련된 편집 디자인을 돕는 레이아웃 디자인 키트,"10,610,600",353,"3,000,000",241명
125,여성이라는 소수자 속 또 다른 소수자 <귀여운 할머니>,"1,109,000",110,"1,000,000",30명
126,밀레니얼 도시 경관 매거진 특별호 [ULC B호],"557,000",111,"500,000",24명
127,당신 뇌를 200%가동할 신약?[좀비런:Limitless],"15,106,000",755,"2,000,000",340명
128,커피 사용설명서? 커피 운영 A부터 Z까지,"3,551,000",710,"500,000",143명
129,언제 어디서든 간편하게 즐기는 커피티백 (feat. 선일),"544,000",108,"500,000",19명
130,"메모 더 월, 중요한 걸 잊지 않기 위해","3,859,000",385,"1,000,000",39명
131,진짜 속마음이 궁금해? 투표게임 쓰리포!,"1,305,000",186,"700,000",45명
132,"한반도의 푸르른 바다를 내 방에, < 방구석 바다여행 >","751,000",150,"500,000",13명
133,"떡볶이 도감 업데이트할 준비! 신종 ""들깨떡볶이""","348,000",69,"500,000",13명
134,지속 가능 다이어트를 위한 <self 식단 코칭 book>,"274,500",39,"700,000",14명
135,떡볶이의 시작과 끝 파도즉석떡볶이,"354,700",35,"1,000,000",13명
136,불세출의 록 보컬 박근홍의 오버드라이브필로소피,"5,061,999",92,"5,500,000",104명
137,"비전공자도 엑셀+도서로 쉽게, 데이터 분석 실전 마스터","2,931,000",586,"500,000",67명
138,쉽게 따라하는 <아이패드 어반 드로잉>과 손그림용 브러쉬,"3,212,000",321,"1,000,000",111명
139,[라 보라카이] 황홀한 선셋의 향기 '비포 선셋',"1,872,000",374,"500,000",24명
