title,category,current_funding_amount,percentage,target_funding_amount,supporter
환경을 생각하는 마음을 담아 만든 선인장 카드지갑 칵토,잡화,1804800,59,3058900,23명
이별 일러스트 <우리의 시간은 조금 다르다>,예술,0,0,0,0명
"고양이 발 젤리, 하루종일 만지자!",예술,172000,34,505800,12명
아... 오늘따라 「그곳에 두고 온 두루마기 생각난다」,출판,748000,24,3116600,17명
"안녕, 동물원 : 동물원 속 동물을 울타리 밖으로!",캐릭터 · 굿즈,368000,46,800000,30명
'페이퍼 프로젝트' 페미니즘 명언 캘리그라피 굿즈,캐릭터 · 굿즈,1809000,90,2010000,25명
"코로나 시대, 모두가 기다리던 <나의 첫 필사노트>의 부활",출판,766000,38,2015700,18명
커넥티드 북페어 2021 - 릴레이 북 v2,출판,164000,27,607400,4명
폭신폭신 쿼카 우기 노트북파우치,잡화,1154000,12,9616600,31명
카드 수집형 RPG 'Epic Of Elysium',디지털 게임,105000,1,10500000,4명
"아무도 모르게 티내고 싶은 커플링 ""자세히 보아야 사랑꾼""",홈 · 리빙,0,0,0,0명
따뜻하게 해줄게; 코듀로이 떡볶이 크로스백,잡화,192000,19,1010500,4명
원목 트레이로 식탁을 요리하자~,홈 · 리빙,0,0,0,0명
초딩도 멋있게 입자구요! 아이가 먼저 찾는 옷과 모자,의류,74400,14,531400,1명
"매력 뿜뿜, 앵무 캐릭터 굿즈",잡화,118500,23,515200,4명
시간을 줄이고 효율은 높여줄 3D 헤드 어시스트 모델,웹툰 리소스,1242000,82,1514600,12명
"2017 장미대선, 스페이스정글이 함께 합니다!",예술,548000,18,3044400,20명
학교에서 펼쳐지는 어반판타지! 여성향 추리게임 <비포다운>,디지털 게임,7234000,72,10047200,111명
나를 위한 휴가 <교토의 여름>,의류,676000,33,2048400,7명
"브라이덜샤워를 위한 조금 특별한 파티키트, '오킷'",홈 · 리빙,373500,22,1697700,9명
한글나라 캐릭터 디자인 굿즈,캐릭터 · 굿즈,44000,4,1100000,3명
꼬옥 안아주고 싶은 먀옹이 쿠션,웹툰 · 만화,5189000,61,8506500,121명
"마다가스카르 그림책 '안녕, 마다가스카르!'",출판,1269500,50,2539000,38명
WITH YOU_당신은 혼자가 아닙니다. 함께합니다,캐릭터 · 굿즈,339000,26,1303800,20명
"지친 나를 위한 작은 위로. 수고했어, 오늘도.",캐릭터 · 굿즈,78500,15,523300,9명
[커버노트] 건설 소재의 재해석 3탄,디자인 문구,2378000,47,5059500,100명
퀴어프렌들한 카페 사르르녹다,디자인,81000,8,1012500,6명
이성편/감성편으로 구성된 다이어리세트 [냉정과 열정사이],디자인 문구,335000,11,3045400,14명
"새로운 하루를 위한 , 새로운 타월",홈 · 리빙,8000,0,0,1명
[유기동물 뱃지]시린 이 겨울 따뜻한 밤하늘을 선물해주세요,잡화,641000,32,2003100,43명
"인생 숙제, 나의 죽음 준비 프로젝트 [메멘토모리]",출판,53000,5,1060000,4명
"손 안의 작은 조약돌, 페블 그립톡",캐릭터 · 굿즈,436300,87,501400,10명
『좋아하는 일을 해도 우울할 때』 삽화 에세이 ebook,출판,40000,4,1000000,2명
조동우 연출작 - [옆집에 간첩이 산다.],영화 · 비디오,230000,23,1000000,6명
"찰나의 순간 , 쨍 하게 나를 빛내 줄 <봄 치마>",의류,5015000,50,10030000,50명
보기만 해도 심쿵! 꾸르미와 꼬래 모찌쿠션,캐릭터 · 굿즈,267700,5,5354000,9명
스케치업 웹툰 배경 - 중세 산골마을/판타지,웹툰 리소스,420000,42,1000000,14명
편안하고 자연스러운 조끼형브라 '꿈브라',의류,1142000,78,1464100,18명
백화점에서 줄서서 먹던 스콘의 친환경 B대면 DIY 키트,푸드,275000,27,1018500,16명
'해마’와 ‘날개하늘나리’에게 내일을 선물해 주세요.,홈 · 리빙,1459000,97,1504100,54명
"모른다면 생존할 수 없다 ""주식 투자 숨겨진 5가지 원칙""",출판,187000,37,505400,14명
