,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
3333,나이팅게일은 할 수 있다 <독거노인 정서지원>,캐릭터 · 굿즈,어버이날을 맞이하여 독거노인을 후원하는 프로젝트입니다. 은은한 온기를 널리 퍼뜨려주세요.,3146400,629,500000,208
3334,"푸르고 깊은 빛깔, 래브라도라이트 천연석 실버 주얼리",주얼리,상질의 래브라도라이트 원석으로 제작한 실버 주얼리를 판매합니다.,3146000,629,5001,58
3335,태블릿PC 유저를 위한 [2022 디지털 비즈니스 플래너],디자인 문구,태블릿 PC와 착! 붙어버릴 여러분의 오피스 라이프를 위한 디지털 비즈니스 플래너,3775000,629,6001,201
3336,영어회화 5가지 독학의 기술 l 전자책,출판,한국에서만 영어회화를 끌어올릴 수 있는 현실적인 5가지 해결책을 공유합니다,6291600,629,1000000,200
3337,한 꺼풀 벗긴 여행 산문집 -『문득 흔들리고 부서질 때』,출판,여행하는 동안 아프고 쓸쓸했던 두 사람의 산문집.,12581141,629,2000000,476
3338,<털 고민 없애기 프로젝트> 새로운 셀프왁싱 '스트립치즈',향수 · 뷰티,"전국의 털남털녀들에게 보다 <쉽고>, <안전한> 셀프왁싱전용 제품을 제공해 드릴 거예요!",12578000,628,20028,556
3339,마르크 앙투안 마티외 복간 프로젝트 <르 데생>,웹툰 · 만화,푸랑스 작가 마르크 앙투안 마티외의 두 작품을 엮어서 한국서 복간을 할라해요!!!!,6288000,628,10012,327
3340,엄마를 위한 세련된 패션돋보기,잡화,"노안이 오신 엄마를위해, 여러 직종에서 유용하게 쓰이는 휴대용 '패션돋보기'",6285000,628,1000000,91
3341,"원샷 스케치업 웹툰배경 교회,음식점,법원,중국풍,도박장",웹툰 리소스,"2번째 프로젝트였던 교회와 성당, 음식점, 법원, 중국풍 음식점, 도박장의 개선버전 재펀딩",3142000,628,5003,101
3342,"하찮지만 귀여운, 말랑말랑 개복치 쿠션인형",캐릭터 · 굿즈,커다란 바다친구들 뱃지에 이어 하찮지만 귀여운 개복치 인형을 선보입니다:),10681000,628,17007,379
3343,앵무새 악마가 만든 업사이클 수납괴물 백 PARROM,잡화,우리나라 악마가 만든 업사이클 백 'PARROM'. 수납괴물 패션 가성비 환경보호까지!,12565000,628,2000000,185
3344,민트초코덕후들의 설움을 담은 뱃지 [민초바의 설움],캐릭터 · 굿즈,치약맛으로 항상 오해받아 억울한 민트초코의 설움을 담은 민초바 뱃지,1882605,627,3002,168
3345,몰카 금지 응급 키트 : don't look at me,디자인,"화장실에서 몰카범죄를 경험하고, 여성분들을 구조하기위해서 만든 몰카금지응급키트입니다.",6270900,627,10001,444
3346,"한국적인 실루엣에서 찾은 편안함, '비나리 셔츠 셋업'",의류,시원한 대나무 소재의 원단과 한국적인 디자인으로 느끼는 편안함.,3135000,627,5000,33
3347,진정한 아이스초코를 아직 맛보지 못한 당신을 위해,푸드,진짜 초콜릿만 담았어요. 집에서도 수제초콜릿샵의 리얼아이스초코를 즐겨보세요.,6268000,626,10012,223
3348,모두가 즐기는 스타일리쉬한 기모 후드&조거팬츠,의류,딜레탕티즘 X 쎄르페 X 리커버리센터가 함께 만든 모두가 즐기며 입을 수 있는 조거&후드티,3134000,626,5006,42
3349,"모르면 5,000만원 손해보는 '무료자원' 2탄",출판,당신이 모르고 사용을 못했던 무료자원의 핵심만 모아서 문서로 전달해 드립니다.,1880000,626,300000,188
3350,고퀄리티 웹툰 만화 판타지 소재,웹툰 리소스,즐겁게 판타지를 그릴 수 있도록 판타지에 어울리는 소스를 진행중입니다.,6266000,626,10009,206
3351,악착발랄 희귀병과 함께 살기 프로젝트<내 하루는 네 시간>,출판,18살부터 희귀난치병 '루푸스 신염'과 함께한 10년간의 기록. <내 하루는 네 시간>,6266000,626,10009,231
3352,우리 이제 죽음에 대해 이야기해봐요 '80년대생들의 유서',출판,80년대생 14명의 인생에 대한 인터뷰와 가상의 유서를 담은 책입니다.,3131833,626,500000,162
3353,사랑하는 부모님께 LED 카네이션 유리돔,홈 · 리빙,시들지 않는 꽃 프리저브드 카네이션으로 마음을 전해보세요,1879000,626,3001,30
3354,"본능에 충실한 여성향 게임, 러브언홀릭",디지털 게임,"매혹적인 새로운 종족 언홀릭의 사랑이야기, 러브언홀릭",31310000,626,5000000,410
3355,달콤한 발렌타인데이를 부탁해,푸드,달콤한 초콜릿으로 마음을 전하는 발렌타이데이 어썸베이커리에서 준비한 초콜릿퍼지,1252000,626,2000,57
