,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
3302,물찍찍이의 모험 봉제인형＆그림책,캐릭터 · 굿즈,트위터와 그라폴리오에 연재했던 그림동화 '물찍찍이의 모험'의 캐릭터 상품을 준비했습니다.,63459000,634,10000000,1617
3303,"비연애 잡지 계간홀로, 아직도 나온다고? ㅇㅇ 4주년호!",출판,"비연애인구 전용잡지 계간홀로, 4주년호☆ 연애지상주의 세계에 함께 엿을 먹여보아요!",9517645,634,1500000,565
3304,한국의 정원을 담은 : 리본백,잡화,"우리의 꽃 무궁화, 멋쟁이 까치, 귀여운 고양이. 한국의 정취를 담은 리본백을 소개합니다.",4440000,634,700000,100
3305,라이프스타일 매거진 <포스트 서울> 2017 애뉴얼 단행본,출판,서울을 기반으로 한 라이프스타일 매거진 <포스트 서울>의 2017 애뉴얼 단행본입니다.,12683000,634,2000000,299
3306,<제주유기견굿즈> 우리도 충분히 멋지고 사랑스러워요!,의류,"제주 유기견 인식 개선 및 바른 반려동물 입양 문화를 위한 티셔츠, 후드티, 핸드폰 케이스",3170500,634,5000,59
3307,경복궁의 메롱해치! 걸리버 되다!,디자인 문구,경복궁의 메롱해치! 걸리버 되다! 메롱해치의 60cm 인형이 나왔습니다!,12680000,634,2000000,316
3308,"낮에 뜨는 달처럼, 주월배",홈 · 리빙,지나침을 경계하는 전통 술잔 계영배를 현대적으로 재해석한 주월배와 선유배입니다.,6336600,633,1000000,67
3309,함께 여행을 떠나보자구요! [여행의 기분을 주는 향수],향수 · 뷰티,함께 여행을 떠나볼까요? 여름낮과 밤이 생각나는 향수,3167000,633,5003,52
3310,교과서 찢고 나온 한국사 스티커 2탄,캐릭터 · 굿즈,교과서 찢고 나온 한국사 스티커 2탄 입니다!,6332400,633,10003,169
3311,"퇴사를 고민하는 예비탐험가를 위한 안내서, <퇴사는 여행>",출판,"퇴사, 여행, 그 후의 이야기.",6332400,633,1000000,254
3312,멸종위기식물 스카프 '내 이름을 기억해 주세요',잡화,"멸종위기식물 가시연꽃과 나도풍란의 아름다움을 담은 마음을 전하는 스카프입니다.
",3166000,633,5001,20
3313,달달한 신혼을 담은 <구름껴도 맑음> 아트북,웹툰 · 만화,"알콩달콩 신혼의 달콤함을 담은
일러스트북 <구름껴도 맑음>",22161500,633,3500000,906
3314,스케치업-폭포가 있는 판타지 중세도시,웹툰 리소스,폭포가있는 중세 판타지 도시입니다.,6330000,633,10000,75
3315,"북한을 담은, 사사끼 트럼프카드 [44A]",보드게임 · TRPG,"북한에서 가장 인기있는 게임, '사사끼'를 위한 트럼프카드. 판타지적 요소를 더했습니다.",6329622,632,1000000,202
3316,[동전보다 가벼운 인식표]강아지 고양이를 위한 선물,반려동물,고양이가 매일 착용해도 불편하지 않은 가벼운 인식표,3163000,632,500000,235
3317,[추석선물] 파운드 케이크 선물 상자,푸드,"다가올 풍성한 명절, 한가위를 맞아 특별하고 달콤한 종합선물세트를 준비했습니다.",3162500,632,5003,60
3318,다채로운 현대물 엑스트라 240종,웹툰 리소스,다채로운 240여종의 현대물 엑스트라 프로젝트입니다.,6324000,632,1000000,168
3319,한국 특별판) JFT 반중력 에어 숄더 패드,디자인,"무겁고 힘든 짐 진 자들아, 나에게 오라!",4424900,632,7001,160
3320,"말로 된 타로카드, 말로(Malrot) - 오리지널 에디션",출판,"말로 된 타로카드, 긴 여정을 끝내고 본래의 모습을 되찾다",12641000,632,20001,483
3321,뮤지컬 극단 NTN < next to normal>,공연,공연에 대한 열정이 활활 타오르는 뮤지컬 극단 NTN. 그들이 펼쳐내는 첫 번째 공연,1580000,632,2500,95
3322,크림히어로즈 고양이 에코백,잡화,"7고양이와 집사, 크림히어로즈 유튜브 채널 구독자 30만 기념 에코백",63185900,631,100136,3797
3323,잘라먹는 초콜릿살라미! 봄바람 타고 상큼함을 더했습니다.,푸드,봄을 닮은 상큼한 스트로베리살라미 출시! 봄바람 타고온 스패셜한 초콜릿살라미3종 디저트,3158400,631,5005,75
3324,<독립일기> <모죠의 일지> 와 함께 슬기로운 집콕생활,웹툰 · 만화,<독립일기> <모죠의 일지>와 슬기로운 집콕생활! 파자마 & 필로우쿠션을 소개합니다!,138908050,631,22000000,2292
3325,"더 많은 유기견에게 더 많은 따뜻함을, ""다독따독""",캐릭터 · 굿즈,직접 만든 강아지용 목걸이와 견주의 팔찌를 판매하고 수익금은 유기견센터에 기부합니다.,1894000,631,300000,172
3326,우주에서 단 하나뿐인 나만의 별명 [프리하라-별명키트],출판,누군가가 나를 부르는 순간이 즐거워지는 경험을 선물하세요.,3155800,631,500000,20
3327,드러머&기타리스트가 되는 가장 쉬운 방법 #드럼링 #기타링,주얼리,음악 좋아하는 '티' 내고 싶은 사람 주목!,3151500,630,500000,68
3328,판타지 시리즈 상단마차,웹툰 리소스,상단마차의 행렬과 모험가들이 지나가는 길목에서 판매하는 배경을 제작하였습니다.,3150000,630,5000,105
3329,하루만 잘 살아도 나는 결국 된다. 되:다 노트,디자인 문구,"시간과 감정을 함께 기록하며 성과를 올리는 먼슬리 다이어리.
우리 하루만 잘 살아봐요!",6297000,629,10011,172
3330,"추적단 불꽃의 르포 매거진 - 우리, 다음",출판,"디지털 성범죄, 지금 보도합니다.",62960777,629,10000000,1969
3331,펜화로 그린 러시아 여행기 <러시아 그림 노트>,출판,"시베리아 횡단열차로 러시아를 여행하며, 그 과정을 사진과 글이 아닌 그림으로 기록한 여행기",6294000,629,10006,139
3332,"반짝이에 퐁-당, 빠진 나의 쟈근 쥬인님_반짝반짝편",디자인,"술잔에 퐁-당, 빠진 나의 쟈근 쥬인님_소주잔으로 가기까지 남은걸음 한걸음 반. 반짝반짝",9441000,629,1500000,436
