index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,description,result,title_len,intro_len
1556,롤플레잉 추리게임 <캐치크라임>,보드게임 · TRPG,13336000,1333,10004,582,"사건 속의 인물이 되어 감춰진 진실을 찾아보세요! 혹시, 당신이 범인은 아니신가요?",1,18,47.0
1557,어릴 적 재미난 여름방학의 추억: 우리들의 여름방학,보드게임 · TRPG,26604000,1330,20003,929,어렸을 적 지냈던 여름방학의 즐거움을 떠올리게 합니다. 그 때로 돌아가볼까요? ^^,1,29,47.0
1558,누구나 만들 수 있는 건강한 케이크 [구수하당 비건케이크],푸드,5320000,1330,400000,293,"누구나 만들 수 있게 쉽고, 건강하고 맛있는 순순할미의 비건케이크 레시피입니다.",1,33,45.0
1559,스케치업배경:의류매장[FACCLO],웹툰 리소스,6650000,1330,5000,133,스케치업 배경: 의류매장 브랜드 [FACCLO] 입니다.,1,20,32.0
1560,"영국 여왕의 홍차, 티바인 다즐링티",푸드,6641800,1328,5001,287,티 전문회사 티바인에서 영국 여왕이 즐겨마시던 다즐링티를 텀블벅 후원자님께 선보입니다.,1,20,49.0
1561,복을 지닌 KIT:나를 위한 '부적'을 수채물감으로!,예술,10628000,1328,8003,324,수채물감으로 나를 위한 '부적'을 그려요.,1,30,24.0
1562,당신에게 단잠을 선물하고 싶은,홈 · 리빙,19922000,1328,1500000,62,더 달콤한 단잠을 위해 [단잠이불]을 만들었습니다.,1,17,29.0
1563,(투닥토닥 판타지) 스케치업 프로젝트 No.10_ 항구도시,웹툰 리소스,13275000,1327,1000000,177,안녕하세요. 그래픽 디자인팀 투닥토닥 입니다 .^^,1,33,29.0
1564,국가가 허락한 유일한 ㅁr약 [도넛&하트 알약 폰케이스],잡화,39779600,1325,3000000,1282,귀여운 도넛과 하트 파츠가 들어간 알약패키지 모형 폰케이스,1,32,33.0
1565,"학교 괴담 소설집, 야간 자유 괴담",출판,6628000,1325,5002,322,학교에서 일어나는 비현실적인 이야기. 12명의 작가가 함께한 학교 괴담 소설집.,1,20,45.0
1566,"작고 가벼운 휴대용 패브릭 독서대, 북패드",홈 · 리빙,18558000,1325,14006,666,더 가볍고 깔끔해진 페브릭 독서대 bookPad,1,24,27.0
1567,디자이너를 위한 인쇄 색상 매칭 실무가이드,출판,29159000,1325,2200000,1294,모니터와 인쇄색상을 맞추는 방법 이제 고민하지 마세요. 차근차근 쉽게 알려드리겠습니다,1,24,48.0
1568,마법 같은 맛! 세상의 모든 발효 <발효의 세계>,푸드,19878000,1325,15002,487,세상의 모든 발효 음식에 대한 책 <발효 음식의 세계>입니다.,1,28,35.0
1569,위안부 기억나비 프로젝트 세번째,캐릭터 · 굿즈,26485300,1324,2000000,1293,기억나비 프로젝트의 세번째 이야기입니다.,1,18,23.0
1570,"""그날의 매트"" 당신의 월경을 더 사랑해주세요",홈 · 리빙,26478000,1323,20013,593,보다 편안한 월경기간을 보내며 몸과 마음을 더 아껴주세요.,1,26,33.0
1571,"아리랑은 고양이들 랜덤피규어 Vol.1,2",캐릭터 · 굿즈,26476000,1323,20012,513,youtube 채널 아리랑은 고양이들의 첫번째 피규어 프로젝트를 소개합니다.,1,24,43.0
1572,군함도 다시 기억하기 ; 군함도를 밝히는 등대,캐릭터 · 굿즈,5291300,1322,400000,436,군함도의 사실을 밝히고 우리들의 기억을 밝히는 등대,1,26,29.0
1573,베껴쓰기로 끝내는 영작문 2.0 데뷔+고별전에 초대합니다,출판,13215200,1321,10003,397,"필사영어 마지막 프로젝트, 뭉쳐도 살고 흩어져도 산다! 영어필사의 결정체 2.0 출격!",1,32,49.0
1574,가면 속 이야기 <불경한 사람들>,웹툰 · 만화,26363000,1318,20002,1444,Pinch에서 연재되었던 <불경한 사람들>의 단행본 제작 프로젝트,1,19,37.0
1575,"어디서나 펼쳐지는 풍류 한 상, <불소반>",홈 · 리빙,13173000,1317,10002,114,조선의 소반과 불판의 만남! 독특하고 멋진 사물에서 얻는 만족감 <불소반>으로 경험하세요!,1,24,51.0
1576,"공기를 베이킹하다, 나만의 공기청정기 'cocopro'",홈 · 리빙,13168800,1316,1000000,187,전자 제품의 내부구성부터 외관까지 직접 만들 수 있는 특별한 경험을 주는 DIY KIT!,1,31,50.0
1577,버려질뻔한 흙들로 만든 [파인애플 플레이트],홈 · 리빙,13156000,1315,1000000,672,버려질뻔한 흙들로 만든 미니 플레이트,1,25,21.0
1578,지금은 캐주얼한 전통이 필요한 때. [복백 X 노리개키링],잡화,13136000,1313,10004,559,복주머니를 캐주얼하게 해석한 취 프로젝트 복백,1,33,26.0
1579,[스케치업 웹툰] 근대조선 프로젝트,웹툰 리소스,13130000,1313,10000,120,구한말부터 일제강점기까지 근대 조선을 담은 스케치업 모델입니다,1,20,35.0
1580,"본격 남페미 입문서 :《저는 남자고, 페미니스트입니다》",출판,26249500,1312,2000000,1473,강릉명륜(남)고 국어 선생님 최승범의 페미니즘 에세이,1,31,30.0
1581,앨리스가 다음 여행자들을 위해 남긴 <이상한 가이드북>,출판,39345000,1311,30011,1407,앨리스가 다녀간 '이상한 나라'의 모든 정보를 담았습니다.,1,31,33.0
1582,"[우디퍼퓸] 오우드 우드(Oud Wood),진짜 나무의 향",향수 · 뷰티,6556000,1311,5000,173,'Wood by Wood' 진짜 '오우드 우드(Oud Wood)'의 향기를 느껴보세요. ,1,33,50.0
1583,로판 / 이세계 판타지 스타일 폐허 마을 웹툰 스케치업배경,웹툰 리소스,11140500,1310,850000,139,로판마을 / 이세계 판타지 폐허 마을 배경 스케치업 웹툰 배경 외부 내부 입니다 :),1,33,48.0
1584,<흉악범과의 면담> 단행본 제작,웹툰 · 만화,29486000,1310,22508,459,"<흉악범과의 면담> 웹툰 단행본과 설정집, 소설 외전, 여러가지 선물을 기획하고 있습니다.",1,18,51.0
1585,이브닝 페이퍼 (evening paper),출판,655000,1310,50000,21,당신의 저녁에 에세이 한 편을 선물해 드립니다.,1,24,27.0
1586,"[말랑파우치] 젖지않고 폭신폭신 보드라워, 말랑!",잡화,6548000,1309,500000,182,누구나 위생적이고 완성도 있는 디자인으로 사용할 수 있는 <말랑파우치>,1,28,40.0
1587,"기억과 감정의 향, ""무화과 우디"" 와 ""만다린 머스크""",향수 · 뷰티,13087180,1308,1000000,156,여러분들의 기억과 느낌들로 향을 완성하여 향의 주인공이 되어보세요.,1,32,38.0
1588,[웹툰배경] 로판재질 데이트코스 6종,웹툰 리소스,13078000,1307,1000000,261,주인공의 활동반경을 넓혀줄 로맨스 판타지풍 데이트코스 웹툰배경입니다.,1,21,39.0
1589,"고양이 해적 패키지 (에코백, 뱃지, 달력)",디자인 문구,130771566,1307,10000000,6811,"7고양이와 집사, 크림히어로즈 유튜브 채널 구독자 50만 기념 해적단 에코백과 뱃지, 달력",1,25,51.0
1590,'비교 불가' 공기의 향기 airy,향수 · 뷰티,13065400,1306,10004,283,공기의 향기를 담은 airy. 다른 향수랑 비교하지 마세요. 진짜 조향을 합니다.,1,20,46.0
1591,[상상토끼 아티스트 폰트 시리즈] 어울림 in 폰틀리에,디자인,13065000,1306,10003,427,"상상토끼와 정묵 작가의 콜라보레이션 캘리그라피 폰트, [어울림]를 선보입니다.",1,31,44.0
1592,[여행자의 배낭 킬리] 보헤미안 Forest 2nd,잡화,39181000,1306,30000,154,많은 사랑을 받은 보헤미안 Forest에 새로운 기능을 추가하여 여러분께 선보입니다!,1,29,48.0
1593,<'디자이너스칼라' 200색 컬러칩 북> vol.2,디자인,26086500,1304,20004,655,세계 최대 색상 '디자이너스칼라'를 CMYK넘버와 함께 칩으로 뜯어 사용할 수 있습니다.,1,29,50.0
1594,웹툰상생프로젝트#6 호탐 x AB 중화레스토랑,웹툰 리소스,13030000,1303,10000,233,웹툰상생 프로젝트 그 6번째. 저렴한 가격으로 고퀄리티의 스케치업 웹툰 배경을 제공합니다.,1,26,51.0
1595,"잊혀져 가던 한국의 기묘한 이야기, <한국요괴대백과中>",출판,65132000,1302,50024,1646,"한국의 요괴,귀신,신령 및 신물, 환상종의 기록들을 각각의 일러스트와 함께 엮은 책입니다.",1,31,51.0
1596,컴발리 알파카! 뭐하고 지냈니 - 세번째 이야기,홈 · 리빙,26043000,1302,20002,598,페루에서 날아온 ‘컴발리 알파카’ 는 알파카 털과 가죽으로 만든 인테리어 소품입니다 :),1,27,50.0
1597,TEA전문가의 감성블렌딩티[노들얼그레이+친환경 삼베티필터],푸드,6508000,1301,5002,136,TEA전문가 큐앤리브즈의 노들 얼그레이 그리고 친환경 삼베 티필터,1,33,37.0
1598,마피아 마음속 흑장미처럼 피어난 사랑 [이터널로즈],향수 · 뷰티,6507000,1301,5001,247,사랑이 서툰 마피아의 수줍은 고백 '당신은 영원한 나의것 입니다.',1,29,38.0
1599,"스케치업 웹툰배경 추모의 흐름 (납골당,장례식장,화장장)",웹툰 리소스,6497600,1299,5002,262,웹툰의 등장인물 사망시 그 등장인물에 대한 추모의 흐름에 필요한 배경들입니다.,1,32,44.0
1600,[월간 조그만북] 학위 없는 사회생활 할 만 한가?,출판,1299000,1299,1000,64,매달 선보이는 신개념 독립출판물 <조그만북>시리즈: 2019.4 조그만 작가 엠마,1,29,46.0
1601,[웹툰배경] 호텔 'GRAND ROYAL' 로 초대합니다.,웹툰 리소스,12987300,1298,1000000,223,고급형 호텔의 내부를 세분화하여 디테일하게 표현했습니다.,1,33,32.0
1602,"100개의 집, 100가지 영감 <Dear, House>",출판,25968000,1298,20006,994,1년에 단 500명만 가질 수 있는 특별한 매거진. 당신의 집에 꼭 소장하세요.,1,32,45.0
1603,Post-it에 기록한 그림일기 <퇴근이 취미입니다>,출판,6487000,1297,5001,229,7×7 사이즈 Post-it 에 일러스트와 짧은글로 남긴 퇴근이 취미인 프로직장러의 기록,1,30,50.0
1604,유럽 왕실 스토리와 드레스 일러스트를 담은 유럽 왕실 도감,출판,51892000,1297,40009,2003,유럽 왕실 스토리 & 궁정 복식1700-1800년대 드레스 일러스트 잡지 수록,1,33,44.0
1605,"투명한 노트, 본 적 있나요?",디자인 문구,19431100,1295,1500000,899,투명노트: 빛이 투과되는 반투명 트레이싱지로 만든 새로운 형태의 노트,1,17,39.0
1606,몽환적인 무릉도원의 비밀 : 서책 노트 / 십장생 무드등,예술,6474000,1294,5003,121,"책상 위에 펼쳐지는 동양풍 판타지, 감각적인 드로잉과 함께 무릉도원의 비밀을 파헤쳐보세요.",1,32,51.0
1607,나는 朝鮮의 스니커즈다 - ONEMIX 오리엔탈 에디션,잡화,9062900,1294,7003,182,"삭스 스니커즈와 옛 전통의 절묘한 조화, ONEMIX 오리엔탈 에디션",1,31,39.0
1608,"진짜맛있는 케익을 만날시간2 ""포크꺼낼시간이진짜아까웠어요""",푸드,6469600,1293,500000,216,9개월만에 '진짜 맛있는 케이크를 만날 시간 2 ' 를 가지고 돌아왔습니다.,1,33,43.0
1609,[웹툰스케치업 배경] 서양식 대저택,웹툰 리소스,12939000,1293,10006,167,드라마속 로열패밀리 회장님댁의 궁전같은 서양식 대저택입니다.,1,20,34.0
1610,"꽃차를 마시는 가장 편안한 방법, 꽃차코디얼",푸드,6469000,1293,5003,186,"공간알파의 첫 프로젝트. 정직하게, 정성스럽게 만들어낸 수제 꽃차코디얼입니다.",1,25,44.0
1611,이민경 작가와 BOSHU팀이 만든 책 <피리 부는 여자들>,출판,38809302,1293,3000000,1886,“여자들 우정은 결혼하면 끝나.”라는 실체 없는 말에 여자 셋의 경험으로 대답합니다.,1,33,48.0
1612,캐릭터를 빛내줄 꽃과풀 브러쉬,웹툰 리소스,10340000,1292,8003,418,캐릭터 일러스트레이션시 캐릭터를 더욱더 빛내줄 꽃브러쉬를 담아보았습니다.,1,17,41.0
1613,"8시간 참나무 훈연 스페어립, 집에서 세상 간편하게",푸드,5168000,1292,400000,113,"텍사스바비큐 즉석팩, 스페어립ver.",1,29,21.0
1614,[과자전 굿즈] 육아순이 뱃지 + 요리가좋아 뱃지,캐릭터 · 굿즈,3870000,1290,300000,144,2017 과자전 개최를 맞아 기념뱃지를 만듭니다. 아기를 돌보는 순이와 요리하는 과자들!,1,28,50.0
1615,웹툰을 위한 스케치업 프로젝트 - 주거배경&호텔,웹툰 리소스,38660000,1288,30015,369,작가님들과 지망생분들의 웹툰창작을 돕는 배경(스케치업) 프로젝트,1,27,36.0
1616,지금 그림 그리고 싶나요? 작고 예쁜 수채화 올인원 세트!,출판,12881000,1288,10000,246,미술도서 전문출판사 도서출판 이종이 만든 책+화구 올인원 패키지입니다.,1,33,40.0
1617,스케치업 웹툰 배경 - 놀이 공원,웹툰 리소스,12880000,1288,10000,184,꿈과 모험이 가득한 놀이공원 스케치업 배경입니다.,1,19,28.0
1618,[어버이날] 나의 영웅에게 '카네이션 훈장'을,캐릭터 · 굿즈,6437100,1287,500000,109,[1000% 돌파!] 부모님께 쑥스러운 마음을 표현해봐요.,1,26,33.0
1619,웹툰작가를 위한 착한 스케치업 배경 프로젝트- 사무실 세트,웹툰 리소스,6428000,1285,500000,163,웹툰 작가분들을 위한 스케치업 배경 착한 가격 도전입니다.,1,33,33.0
1620,크림히어로즈 모찌쿠션 & 키링,캐릭터 · 굿즈,385608500,1285,300084,7646,크림히어로즈 170만 기념 디루디루 모찌쿠션 & 키링,1,17,30.0
1621,다이아몬드의 불편한 진실을 아신다면 '페이크 다이아 링',주얼리,8989000,1284,7000,263,인간과 환경을 파괴하지 않은 친환경이고 아름다운 페이크 다이아몬드 링,1,32,39.0
1622,프로젝트 알그라드 중세 판타지 스케치업 배경,웹툰 리소스,12828000,1282,10006,150,프로젝트 알그라드는 스케치업 프로그램으로 중세 판타지 도시를 만드는 프로젝트입니다.,1,25,47.0
1623,"월간커피, 추운 크리스마스에 따뜻하게 마시는 콜드브루 커피",푸드,6414000,1282,5003,387,'월간커피'라는 이름으로 매달 새로운 싱글 오리진 콜드브루 커피를 한정수량으로 선보입니다.,1,33,51.0
1624,"페미니즘 그 첫번째, girl power !",캐릭터 · 굿즈,6412710,1282,500000,294,이번 페미니스트 굿즈 판매 수익금의 60%는 미혼모 가정을 위해 후원됩니다. GRL PWR,1,25,51.0
1625,꽃처럼 로맨틱한 수제한과세트,푸드,3843000,1281,3000,121,마음을전하는 정성가득 수제한과,1,16,17.0
1626,한국풍으로 재해석한 메이저 타로카드 일러스트레이션,보드게임 · TRPG,64049900,1280,50038,1970,한국풍의 메이저 타로 일러스트 카드,1,28,20.0
1627,"성폭행범의 혀를 깨물어 잘랐다. 무죄, 유죄?",출판,12804000,1280,10003,323,1988~2018여성신문이 보도했던 사건101개에 여성인권 전문가의 해설을 더한 역사기록물,1,26,51.0
1628,웨지의 <꽃피우다> 일러스트북,예술,38400500,1280,30000,1012,웨지의 <꽃피우다> 일러북 제작을 위한 펀딩입니다.,1,17,29.0
1629,"""꽃보다 어여쁜 울엄마"" 한글 각인 칠보 목걸이",주얼리,3200000,1280,250000,103,"""꽃보다 어여쁜 울엄마""를 위한 프로젝트. 한국 전통공예 칠보 목걸이에 메세지를 각인.",1,27,49.0
1630,래디컬 페미니즘-성별 계급제를 꿰뚫는 시선,출판,44766469,1279,3500000,1860,대표적인 래디컬 페미니스트 '쉴라 제프리스' 번역 출간 프로젝트,1,24,36.0
1631,내가 꿈꾸던 '전자책' 만들기,출판,4217000,1277,330000,46,전자책 만들기 33종 키트 : e-book 제작을 꿈꾸는 모든 이들을 위한 프로젝트,1,17,47.0
1632,고양이 꼬부기&쵸비 <미니 모찌인형>,캐릭터 · 굿즈,127755000,1277,100043,2016,꼬부기 쵸비 미니 모찌인형♥ 같이 여행하자!,1,21,25.0
1633,"카시트 가죽의 재탄생, 30년 장인이 만든 가방 <비뉴잇>",잡화,6386000,1277,5000,27,"친환경 ""비뉴잇 에코 토트백"" 가죽 업사이클링을 통해 지속 가능한 선순환을 만들다!",1,33,47.0
1634,"월간커피, 가을의 시작을 알리는 맛과 향의 콜드브루 커피",푸드,6385000,1277,5000,380,'월간커피'라는 이름으로 매달 새로운 싱글 오리진 콜드브루 커피를 한정수량으로 선보입니다.,1,32,51.0
1635,스케치업 웹툰배경 컨셉 Vol . 4 검찰청,웹툰 리소스,6384000,1276,5003,168,스케치업 웹툰배경 검찰청 프로젝트입니다.,1,25,23.0
1636,"희미해지지 않게 묶다, 노란이음팔찌",잡화,12762500,1276,1000000,474,"희미해지지 않게, 더, http://storefarm.naver.com/studiium",1,20,49.0
1637,네이버웹툰 <아홉수 우리들> 시즌1 단행본 제작,웹툰 · 만화,127590602,1275,100071,2144,네이버웹툰 수박양 작가의 <아홉수 우리들> 시즌1 단행본과 스페셜 굿즈를 제작합니다.,1,27,48.0
1638,춤추는생선! 생선같이 살아 움직이는 스마트한 강아지 장난감,테크 · 가전,25517000,1275,20013,1088,튼튼한 내구성과 리얼한 움직임으로 강아지에 딱 맞게 출시된 '춤추는생선' 장난감!,1,33,46.0
1639,"은은한 깨끗함, 아카시아 향수 #RIUNS",향수 · 뷰티,38263950,1275,30010,919,[F/W 시즌] 리운스 아카시아 라무화(L’amour) 퍼퓸,1,24,34.0
1640,"스르륵 향이 만들어내는 구름으로 운멍, 나룻배 인센스콘홀더",홈 · 리빙,6376300,1275,5001,141,"나룻배에 향을 태우고 부드러운 시간을 여행하세요.
구리판을 손으로 가공하여 만든 인센스홀더",1,33,51.0
1641,쉽게 사용하는 폭발과 연기 이펙트 시리즈,웹툰 리소스,12743000,1274,10002,360,간편하게 사용할 수 있는 폭발과 연기 이펙트 시리즈입니다.,1,23,33.0
1642,[스케치업 배경] 마녀 사관학교에서 사악함을 뽐내보세요!,웹툰 리소스,12740000,1274,1000000,151,신비로운 거대 나무 위로 지어진 마녀들의 공동체 건물입니다.,1,32,34.0
1643,과감한뮤지컬 : Kick The Bucket,공연,6365000,1273,500000,152,과감한인생의 초대형 버킷리스트 프로젝트! <과감한뮤지컬 : Kick The Bucket>,1,25,50.0
1644,동시통역사들은 어떻게 어학의 달인이 되었을까?,출판,12717000,1271,10005,558,통역사들이 공개한 영어/일본어/중국어/러시아어 ... 학습법을 총정리해 드립니다.,1,26,46.0
1645,말랑 조랭이떡 아붕이 인형이 왔어요!,캐릭터 · 굿즈,25432000,1271,20009,798,망상리 토끼들 두번째 봉제 인형! 말랑하고 의젓한 조랭이떡 아붕이를 데려가세요!,1,21,45.0
1646,"나의 수집품을 작품으로, 메탈 핀뱃지 프레임",캐릭터 · 굿즈,12706000,1270,10004,347,핀뱃지를 작품으로 만들어 보세요. 뱃지 수집가를 위한 알루미늄 소재의 액자입니다.,1,25,46.0
1647,"앵콜]카페인 걱정없이 가장 맛있는 차, 밤을 가볍게 마시다",푸드,6353000,1270,5002,185,"카페인 걱정없이 마시는, 가장 맛있는 블렌딩차에요.",1,33,29.0
1648,[커피 향수] 카페 우나에 오신 것을 환영합니다.,향수 · 뷰티,12693900,1269,10003,219,커피 원두가 로스팅(roasting)되면서 펼쳐지는 고소한 향연,1,28,36.0
1649,여성의 몸을 잘 아는 간호사 자매가 만든 인견 사각팬티,의류,19029500,1268,1500000,287,말려 올라가는 드로즈 와 속바지에 지치셨다면 시원한 인견 사각팬티를 한장 만 입어보세요!,1,31,50.0
1650,중국향 웹툰배경 스케치업 모델링,웹툰 리소스,12681000,1268,1000000,101,중국향 웹툰 배경 스케치업 세트입니다.,1,18,22.0
1651,공연전시 현수막 업사이클링 [앙코르 프로젝트],디자인,6332000,1266,5001,222,앙코르 프로젝트와 함께 '환경보호를 실천하는 문화예술활동'에 동참해주세요.,1,26,42.0
1652,셜록홈즈2 : 신원미상자의 비밀,보드게임 · TRPG,25325000,1266,20003,1012,셜록홈즈 보드게임 제 2탄! 기억력과 소거법으로 John doe를 밝혀내 보세요!,1,18,46.0
1653,<타임 스토리즈>,보드게임 · TRPG,37987000,1266,30005,758,보드게임 <타임스토리즈>의 한국어화 프로젝트입니다.,1,10,29.0
1654,집사공감 프로젝트 : 고양이 모래 & 2021 캘린더 달력,디자인 문구,12662000,1266,1000000,98,"집사님의 고충을 고려하여 만든 모래 프로젝트, 집사공감의 첫번째 공감이 시작됩니다.",1,33,47.0
1655,"다시 여기 숲, 언택트 DIY 힐링박스",홈 · 리빙,12638000,1263,1000000,69,숲의 향기와 피톤치드를 집으로 배송해 드려요. 힐링박스에 힐링 재료를 정성스레 담았어요.,1,22,50.0
1656,#01.궁궐시리즈 : 창덕궁 첫번째 돈화문과 인정전 까지,웹툰 리소스,12628000,1262,10006,92,스케치업 웹툰 배경 궁궐시리즈 첫번째 창덕궁 입니다.,1,32,30.0
1657,삶과 죽음의 경계를 넘나드는 열 가지 기담 「기요틴」,출판,2521000,1260,200000,159,"도플갱어, 지박령, 생령, 빙의, 귀접, 악마… 소름끼치도록 매혹적인 열 가지 기담",1,30,47.0
1658,"언제, 어디서나 편하게 : 노트북 거치대 파우치",잡화,12600200,1260,1000000,478,"노트북 거치대 파우치로 언제, 어디서든 편한자세로 노트북 사용을 해보세요:)",1,27,43.0
1659,아롱롤의 대학 종합 병원,웹툰 리소스,12600000,1260,10000,280,웹툰 배경 스케치업,1,14,11.0
1660,문화재단 입사와 업무의 모든 것 <오! 문화재단>,출판,15096000,1258,12000,797,문화재단 현직자들이 말하는 문화재단의 A-Z!! 문화재단 기획자들의 고군분투기!,1,28,45.0
1661,드레스 프릴과 장식 브러쉬,웹툰 리소스,6290000,1258,5000,254,"프릴을 그리기 어려워하시는 분들이나, 빠른 마감을 원하시는 분들을 위하여 준비하였습니다.",1,15,50.0
1662,"오늘 밤, 날자 - 밤의 마녀들 TRPG",보드게임 · TRPG,50310000,1257,4000000,972,2차 대전의 소련 여성 폭격 부대를 다룬 TRPG <밤의 마녀들> 번역 출간 프로젝트.,1,23,49.0
1663,"온세상의 신들, <이토록 다양하神>",출판,37710500,1257,30000,2426,세계 곳곳의 다양한 신들을 소개하고 정리합니다.,1,20,27.0
1664,"차가운 겨울, 따뜻한 향기 선물 '생활향수'",향수 · 뷰티,8798000,1256,7004,183,"차가운 겨울, 내 마음을 따뜻하게 녹여줄 뜨끈뜨끈한 5가지 향기를 선물해드립니다.",1,25,46.0
1665,한나네보호소를 응원합니다.,예술,2512509,1256,200000,254,디자인상품으로 한나네보호소를 후원합니다.,1,15,23.0
1666,일레븐 스케치업 05 - <한옥주택 & 한옥마을>,웹툰 리소스,12562000,1256,10001,157,일레븐이 제작한 웹툰제작에 도움이 되는 배경을 제공하기 위한 프로젝트 05,1,28,42.0
1667,깊어져만 가는 악의를 이겨낼 수 있나요? <악인>,보드게임 · TRPG,18823100,1254,15010,988,"한순간 정체가 변화하는 신개념 마피아 보드게임!
웹툰 '자작 보드게임 동아리'의 첫 펀딩
",1,28,51.0
1668,"메이플월드를 추억하는 테마 패브릭 퍼퓸 미스트, 메탈스티커",향수 · 뷰티,12540500,1254,10000,292,메이플월드에서 만난 캐릭터들과 감명 깊었던 장면을 ‘향기'에 담아 공유합니다.,1,33,44.0
1669,"설선물, 어썸한 누가크래커를 부탁해",푸드,2508100,1254,2000,81,"건강한 수제간식, 누가크래커",1,20,16.0
1670,마음과 지갑을 여는 11가지 협상법,출판,7521000,1253,6002,194,"마음과 지갑을 여는 11가지 협상법, 그 모든 노하우를 40 페이지 전자책에 담았습니다.",1,20,50.0
1671,100가지 남성 정장 포즈 모델링,웹툰 리소스,12510000,1251,10000,115,다양한 구도를 체크해볼 수 있는 남성 정장 포즈 모델링입니다.,1,19,35.0
1672,"포근포근한 스니커즈를 굽다, <슈크림 & 베이글>",잡화,12506000,1250,10004,125,가족끼리 만든 포근한 스니커즈! 슈크림과 베이글을 소개합니다:),1,28,36.0
1673,호탐의 탐나는 툰하우스 프로젝트_01 : 주거환경 인테리어,웹툰 리소스,25001600,1250,2000000,502,웹툰을 위한 스케치업 배경 제작 프로젝트,1,33,23.0
1674,"멜론 덕후를 위한 리얼, 멜론 향수",향수 · 뷰티,12494300,1249,10003,559,맑고 풋풋한 향기! 달콤한 향이 부드럽고 은은하게 오래 남는 멜론이 향수로 탄생했습니다.,1,20,50.0
1675,"[심리상담] 어른이를 위한 신비한 상담소, 인간관계 편",출판,12492000,1249,10001,334,어른이를 위한 신비한 상담소는 인간관계 속에서 좀 더 행복해질 수 있는 방법을 제안합니다.,1,31,51.0
1676,발매트를 완성하다. 발수건이 달린 멍멍이 발매트!,홈 · 리빙,6241600,1248,5001,241,욕실 앞의 새로운 인테리어. 콘타디자인이 만든 발 매트 연구의 집대성!,1,28,40.0
1677,스케치업 웹툰 배경 [내 맘대로 조립식 던전],웹툰 리소스,12476500,1247,10005,170,사용자가 직접 조립하여 사용할 수 있는 커스텀 형태의 판타지 던전 배경 3종 입니다.,1,26,48.0
1678,마블의 모든 것! <마블 백과사전 개정판 2019>,웹툰 · 만화,37423000,1247,30010,797,2019년 최신 버전으로 돌아온 <마블 백과사전 개정판>을 만나보세요 :D,1,29,42.0
1679,프랑스 락다운 일상을 그린 실키의 <버드박스>,웹툰 · 만화,12474270,1247,10003,724,#역병의시대 #외출은금지 같은 장소지만 조금씩 다르게 흘러가는 매일을 담은 그림책,1,26,46.0
1680,"세상에 없던 새로운 신발, '에어 라텍스 샌들'",잡화,124686111,1246,10000000,1991,키치오브제는 친숙한 사물들을 키치오브제만의 가치관으로 재해석하여 세상과 소통하길 바랍니다.,1,27,51.0
1681,전통의 숨결을 가방에 덧대다 _ 베가BAG,잡화,12458000,1245,1000000,44,"전통을 근간으로 새로움을 디자인하는 家, 베가수의 깊이있는 아름다움_베가BAG입니다.",1,24,48.0
1682,{ 프로그래밍 세계의 고양이 } 티셔츠 & 스티커,의류,6219000,1243,5003,180,트라이캐치의 첫 번째 프로젝트: 프로그래밍 세계에 빠져버린 고양이,1,28,37.0
1683,"알면 안되는 곳, 그러나 알아야하는 곳: 학대피해아동 쉼터",캐릭터 · 굿즈,6215300,1243,5000,519,"가정학대의 현장에서 구출된 아이들이 보내지는 곳, 학대피해아동쉼터를 후원합니다.",1,33,45.0
1684,소녀들에게 따스한 봄을 선물해주세요 : 위안부 뱃지 손거울,캐릭터 · 굿즈,6214500,1242,500000,902,뱃지와 손거울의 판매 수익금을 일본군 성노예 문제해결을 위한 '정의기억재단'에 기부합니다.,1,33,51.0
1685,서울의 3년 이하 퇴사자의 가게들,출판,12421677,1242,1000000,410,<서울의 3년 이하 퇴사자의 가게들: 하고 싶은 일 해서 행복하냐 묻는다면?>,1,19,44.0
1686,신이 된 나의 4신 4색 로맨스! <신도 야근을 하나요?>,디지털 게임,124125444,1241,100020,2081,신이 된 나와 절대 충성을 맹세한 사자들의 4신 4색 로맨스! <신도 야근을 하나요?>,1,33,49.0
1687,"아르테미스, 셀레네, 헤카테- 달의 세 여신들을 담은 반지",주얼리,30992000,1239,25013,167,그리스 로마 신화 속 달의 세 여신들의 이야기를 담아낸 천연석 반지입니다.,1,33,42.0
1688,계란고양이 티셔츠,의류,6197277,1239,5001,190,버림받은 계란고양이들을 위한 티셔츠,1,10,20.0
1689,"[번화가 필수세트] 낭만과 감성이 담긴, 신촌 로데오거리!",웹툰 리소스,12391200,1239,10000,169,"언제나 낭만과 따듯한 감성이 함께하며, 젊은 에너지가 넘치는 신촌 젊음의 거리! 주경/야경",1,33,51.0
1690,스케치업 웹툰배경 - 주택가 A,웹툰 리소스,12390000,1239,1000000,287,웹툰을 그리시는 작가분들을 위한 스케치업 배경 모델입니다 !,1,18,34.0
1691,"스케치업 웹툰 배경""역삼 테헤란로""",웹툰 리소스,12385000,1238,10004,146,팀 말랑코 입니다 역삼테헤란로 거리와 골목을 참고하여 제작하였습니다 많은 관심부탁드립니다.,1,20,51.0
1692,"환영받고, 배웅받으며 [검은 길고양이 인식개선]",캐릭터 · 굿즈,14853400,1237,1200000,1318,[검은 길고양이의 인식개선],1,27,16.0
