index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,description,result,title_len,intro_len
4699,가장 가까운곳에서 함께하는 ‘베이직 글렌체크 코트’,의류,13555000,451,3000000,234,"솔스 스튜디오는 최대한 가격을 낮추고, 베이직함 속에 세련됨을 추구합니다.",1,29,42.0
4700,"당신의 마음을 풍요롭게 해줄 ""날개짓하는 새모빌""",홈 · 리빙,4518000,451,1000000,201,날개짓하는 새모빌 <버드힐링모빌> 시즌2 프로젝트입니다.,1,28,32.0
4701,세상에서 가장 아름다운 여행가이드북 <모스크바여행기>,출판,13552700,451,30050,411,김웃의 모스크바 여행기를 따라가는 그림가이드북,1,30,26.0
4702,갈피를 잃었다면 책갈피 .끼움. #1. 체인 책갈피,디자인 문구,3614000,451,8013,121,여러분의 독서가 더 즐거워 질 수 있도록 책갈피를 디자인 및 제작하고 있습니다.,1,29,45.0
4703,우리 집에 보더콜리가 산다,출판,4517000,451,10015,152,웃다가도 뒷목 잡고 슬프다가도 마음 따뜻해지는 이야기! <우리집에 보더콜리가 산다>!,1,15,48.0
4704,다들 일이 싫어질 때가 있잖아요?『 책방이 싫어질 때 』,출판,4516200,451,1000000,230,앞에서는 웃었지만 뒤에서는 째려보던 책방직원의 뒤끝 에세이.,1,32,34.0
4705,언어 아래 숨은 의미를 찾아서〈밀턴 에릭슨의 대화법〉,출판,4513500,451,10007,197,세계적인 상담가 밀턴 에릭슨의 마음을 움직이는 대화 원리를 알기 쉽게 풀어 쓴 책입니다.,1,30,50.0
4706,형사전문변호사가 알려주는 우리가 꼭 알아야 할 명예훼손,출판,1354000,451,3002,108,형사전문변호사로 일하면서 가장 많이 다뤘던 죄명인 명예훼손죄를 정리했습니다.,1,31,43.0
4707,『소소한 근육과 슬기로운 식사가 필요합니다』군살없이 건강한,출판,6767000,451,15004,475,매일 조금씩 습관을 바꾸자 나타나는 잔잔한 기적. 4개월에 16kg 감량하고 건강을 찾다,1,33,50.0
4708,프랑스인이 만든 성 외부 스케치업 모델링,웹툰 리소스,902000,451,2000,41,판타지 성 외부 스케치업 모델링입니다,1,23,21.0
