,title,current_funding_amount,percentage,target_funding_amount,supporter
135,ROHCHUI의 첫번째 프로젝트 드로잉 작품을 입는다.,1526000,305,500000,26명
136,단편영화 doubter 후반작업,4005000,100,500000,27명
137,닳도록 사랑했던 곰돌이,1488000,297,500000,10명
138,"팥죽 하면 동지, 절기 놀이 프로젝트 24절기 패키지",833500,166,500000,23명
139,미래형 실험도시 건설 보드게임 '이노리즈: ENOREZ',5689000,162,500000,95명
140,해체주의 호러 큐티 펑크 시집 <무서운 집>,1477000,152,500000,81명
141,"귀여운 ""벚꽃소녀""의 2021 탁상달력",454000,151,500000,20명
142,나만 강아지 없어! 2021 멍멍 패브릭 캘린더 분양중,1417000,141,500000,34명
143,갓 발효된 반죽 캐릭터 땡글이 데려가주세요!!,2502000,125,500000,65명
144,"포근하고 돋보이는 겨울 룩, 귀여운 유니크 양털자켓",1736000,115,500000,26명
145,"평범해서 특별한, 보통의 파주 청년들의 <보통의 내일들>",2160000,108,500000,75명
146,어린 시절 기억 속으로 떠나는 심리여행_초기기억 강점 찾기,3197500,106,500000,22명
147,처음 만나는 더 쉽고 편해진 생리디스크 <Poicup>,200684000,2006,500000,"5,883명"
148,"잃어버린 상상력을 찾아, <코끼리를 삼킨 보아뱀 은반지>",60177900,12035,500000,"1,403명"
149,"쉽게 쓰는 소설, 지금 써봐요! TRY TO WRITE!",20808500,4161,500000,"1,149명"
150,명탐정코난-Hello Mr.My Yesterday 앨범발매,65955000,188,500000,"1,175명"
151,"Flower Shower, 꽃물에 샤워하고 나온듯한 살냄새",17729000,1772,500000,466명
152,우리나라 역사 속에 살아 있는 <신령한 동식물 이야기>,23966000,479,500000,953명
153,아이패드 활용성을 높여주는 '올인원 디지털 노트 101',14549500,2424,500000,642명
154,지구환경보고서 <석탄아틀라스>한국어판 출간,3790000,252,500000,152명
155,"도깨비와 요괴, 신화에 관한 이야기 <동양 환상전>",22231000,370,500000,833명
156,"웹툰, 일러스트를 위한 100종류의 다양한 가문 조합들",6294000,1258,500000,235명
157,'비비안 마이어' 포토 포스터 북,9469300,473,500000,337명
158,2022년을 물고 온 호롱이,4643300,580,500000,142명
159,익명으로 고민을 보내면 손편지 답장이 오는 동화같은 이야기,27463000,2746,500000,"1,445명"
160,11회 광주여성영화제 ZERO,6086500,152,500000,199명
161,킹스우드: 론델 시스템의 치열한 수 싸움 게임!,11195000,223,500000,213명
162,티 전문가 '큐앤리브즈' 세젤맛 밀크티 4탄! TEA시럽,10214000,2042,500000,307명
163,[박스학 개론] 실무에서 바로 사용하는 박스 가이드,21116500,703,500000,366명
164,"전설 속 다섯인어가 보내온 편지와, 천연원석 쥬얼리",12972000,1297,500000,197명
165,"선을 넘는 영화제, GUJIFF 상영회 <점, 선, 면>",2251256,173,500000,123명
166,소중한기억이 아스라이 찾아올때 <까만별이 찾아온날>,3955000,158,500000,171명
167,한글 타이포그래피 구독 서비스 홈페이지 제작,9137000,304,500000,126명
168,커스텀 가능한 2.5D 액션 이펙트 & 일상 파티클,6696000,669,500000,273명
169,"상실에 관한 환상SF 단편집 <여섯 번째, 꿈의 감각>",1486000,297,500000,104명
170,"내 방 안의 희귀식물 포스터, 엽서북, 키링 <그리너리룸>",3361000,168,500000,97명
171,12팀의 크리에이터와 함께한 2022 릴레이 달력 챌린지,4071000,626,500000,224명
172,[Tlab] 컨템포러리 타입페이스 한글 Inline,17891000,397,500000,152명
173,보석의 공간을 디자인 하다 [쇼룸 펜던트],32035000,320,500000,124명
174,노브라로 나가도 모를걸! <해방잠옷>,5886000,588,500000,79명
175,하찮은 찹쌀 도-나쓰 도우도우 노트북 파우치,4023000,134,500000,112명
176,"한지로 만든, 친환경 소재 하운지 가죽을 가방에 담다",6142000,1228,500000,77명
177,"[디지털 다이어리] 즐거운 기록 놀이, 꼴라주 2021",511577,102,500000,48명
178,홍익대학교 산업디자인 졸업전시<design without>,1263500,126,500000,27명
179,"""어서오세요, 문브릿지 꿈상점입니다."" <드림캐쳐>",2670000,534,500000,95명
180,"""지금,도쿄"" : 일본감성 꾹꾹담은 엽서키트",1539677,256,500000,68명
181,두려운 영혼을 위한 그림책 <세상에서 가장 안전한 집>,5681000,142,500000,177명
182,동물들의 열두달을 담은 [2022 A.T.M 캘린더],1338000,267,500000,53명
183,"책봄의 환경,동물,사람 - 도서 구독서비스 <문 앞의 봄>",2261000,226,500000,39명
184,미래세대에게 대한민국 축구의 가치를 전달해요!,6552000,655,500000,15명
185,향과 마음치유의 조화 : 감정조절이 어려운 당신에게,3541800,236,500000,62명
186,"언택트 시대, 멀어진 사이 건네보는 <사이다>",3598000,102,500000,81명
187,"산타를 기다리는 어른들의 설렘, 크리스마스 테라리움 키트",3514100,351,500000,64명
188,"보이스 아이돌 프로젝트 : 아이-유니버스 ""에버샤인""",7988000,145,500000,70명
189,산책을 씨앗처럼 심고 가꾸는 그림에세이 <함께 쓰는 산책>,1921000,128,500000,58명
190,더 깊은 사랑 [The love rose Ring],3012000,602,500000,48명
191,우울전시 - 쇼미더드로잉 X 이모르 개인전,4720000,314,500000,100명
192,"삶이 불안한 당신에게 권하는 소설, <불안을 담은 캐리어>",1282000,128,500000,50명
193,"업사이클링, 세상에 하나 뿐인 <텐트 파우치>",1320500,220,500000,42명
194,지난 여행을 기억하는 저마다의 방법들.,2714000,301,500000,71명
195,당신의 세상이 꽃이 되는 따뜻한 일러스트북 <너는 꽃>,1538000,256,500000,51명
196,데드버튼즈의 앨범 [1] CD와 티셔츠 제작,3458000,138,500000,92명
197,"당신의 시작은 언제인가요? 시작의 달, 눈썹달 주얼리",3111000,622,500000,52명
198,중생대 생물을 담은 트럼프카드,3931500,393,500000,60명
199,러시아 문학 여행 에세이 <로쟈와 지바고의 길 위에서>,1699500,141,500000,56명
200,"세상 모든 시를 읽는다, '시zip' 기획 어떠신가요?",5132000,102,500000,32명
201,받는 사람이 깜짝 놀라는 선물 [ 3D-Art 입체액자 ],2579800,515,500000,16명
202,"오늘, 엽서북",1114500,222,500000,45명
203,"친환경 디자인을 마시다, 블루범브루의 콜드브루와 바닐라시럽",881000,176,500000,28명
204,나의 365일 달력 2021,550000,110,500000,28명
205,일곱살 멈머 포카와 두살배기 마꼬의 귀염뽀짝 무빙웹툰,1808000,180,500000,44명
206,맞춤전용 중세.로판 엑스트라,2149000,107,500000,47명
207,세상에는 아직도 여성 영화가 더 필요하다. 영화<사각지대>,7031000,351,500000,100명
