,title,current_funding_amount,percentage,target_funding_amount,supporter
3648,웹툰 & 일러스트 활용소재 2탄 - 나무&수풀,5840000,584,1000000,119명
3649,스타일을 위해 타협하지 마세요 [ 친환경 롱슬리브 ],2918000,583,500000,62명
3650,"Selena pick : 헤어끈, 스카프, 팔찌의 3단변신",583500,583,100000,27명
3651,천상열차분야지도 복각 & 반지,2331500,582,4006,100명
3652,"유기견 추운 겨울나기, '방구석댕댕이' 뱃지&스티커",2913111,582,500000,235명
3653,테일즈위버를 담은 액세서리,2913000,582,500000,93명
3654,젊은 감각의 고깃집,2912000,582,5003,91명
3655,"[웹툰 스케치업] 물의도시 베네치아, 궁전과 도심지",4367481,582,750000,39명
3656,재밌는 힐링타임! 문질러 녹이는 아이스크림 멜팅캔들 멜팅바,582000,582,1000,17명
3657,"여름을 기다리는 모두에게, 완벽한 린넨 로브",2910000,582,5000,45명
3658,전통 와당으로 현대를 장식하다 : 와당 노리개와 키링,8728000,581,15022,220명
3659,고민없이 편하게 외출하세요! 실용성 최고 '솝솝백',15128000,581,2600000,325명
3660,인생장사학교 캠프로 나만의 내일가게 기획하기,8720000,581,15008,48명
3661,"100% 벌집 숙성꿀, 어반비즈 청크 허니",8720000,581,15008,147명
3662,만질 수 있는 리얼 패션 소재 북 [ 더 텍스타일 ],17439000,581,30015,570명
3663,"잊혀진 제국의 꽃으로 봄을 맞이해요 _ 오얏꽃 뱃지,귀걸이",5811000,581,1000000,360명
3664,"세상 모든 색깔을 담은 카드, <코스믹 컬러 카드>",37761000,580,6500000,566명
3665,불로소득을 희망하는 <내 꿈은 건물주> 뱃지,1742000,580,3003,74명
3666,이쁘다고 비쌀필욘 없잖아!! 두번째 이야기 '스탠드버킷백',28966000,580,4990000,506명
3667,도사와 도술이 난무하는 TRPG [설화학당],37718000,580,6500000,839명
3668,"월경컵 입문자를 위한 사용 안내서,〈안녕 월경컵〉",11604000,580,2000000,519명
3669,"'한잔하개?' 메시지각인 강아지 찻잔,술잔",2900000,580,5000,76명
3670,"아름다운 작별의 후유증 ,고요 <<환상과 상멸>>",870000,580,1500,27명
3671,스케치업 웹툰배경 추모의 흐름2 공동묘지,2898000,579,5005,87명
3672,"비에 젖은 숲과 백장미가 놓여있는 침실, 그 공간의 향",2894300,578,5007,141명
3673,"해외 영화 속 샌드위치 모음, 『영화 속 샌드위치 도감』",7522000,578,1300000,394명
3674,'두근두근' 달달함 듬뿍 <구름껴도맑음> 캘린더,8678500,578,1500000,400명
3675,모든 요리 마라롭게! <만능 마라소스 &마라떡볶이>,5781000,578,10001,205명
3676,[베들레헴 올리브나무] 토마스 만년필,5780000,578,10000,49명
3677,전휘목의 크리스마스 엽서 카드 2016,289000,578,50000,40명
3678,당신이 부자가 되었으면 좋겠어요,5779400,577,10016,205명
3679,"숲 만드는 반려나무 입양 키트, 백두대간 멸종위기종 에디션",17328000,577,30031,530명
3680,선탠 후르츠 밀크 글라스,13853500,577,24009,375명
3681,300명을 위해 천천히 고민한 'OOO 체크자켓',11540000,577,20000,168명
3682,한국형 저승 판타지 소설 <달에서 내려온 전화>,5191000,576,9012,280명
3683,작업자의 옷 <PaTI 워크점프수트>,10381000,576,18022,80명
3684,우리는 맛있는 커피를 마실 권리가 있습니다.,2883000,576,5005,93명
3685,아르쉘레나의 스케치업 공유 프로젝트#1 (시골집/병원로비),5765000,576,1000000,200명
3686,2019 포인핸드 유기견 사진전시회 기념 캘린더,11528901,576,20015,756명
3687,당신에게 딱 맞는 사고성향별 다이어리,40349105,576,70050,"1,286명"
3688,낭만적인 연출이 가득한 강변다리 상가,5764000,576,10006,74명
3689,스케치업 배경 - 마법사 길드,2880000,576,5000,72명
3690,"봄 제주, 유채꽃을 담은 봄맞이 귀걸이 3종",575800,575,1001,26명
3691,"무속신앙, 넋두리, 퇴마와 달램의 이야기 '녹명당 1권'",6330000,575,11008,200명
3692,쉬움 주의. 폴라베어 페이퍼 커팅 KIT,2876500,575,5002,97명
3693,기억을 잃은 아빠를 바라보는 아들의 사진일기,8283000,575,14405,299명
3694,"MZ세대의 선한 영향력을 위한 착한 경매 플랫폼, 플리옥션",5751000,575,1000000,61명
3695,2019 죽도록 하고 싶은거 하나라도 잘해보자!킬미 캘린더,2875000,575,5000,115명
3696,<제주 바다-월정리 해변>웹툰 스케치업 배경,5750000,575,10000,52명
3697,[우주향수 갤럭시] 은하계 가득한 보랏빛 우주 먼지의 향기,2874000,574,500000,68명
3698,향긋함 그대로 한팩에 담은 간편한 수제청:코디얼,3448000,574,600000,74명
3699,엄지검지 핑거리스 장갑,8619000,574,1500000,279명
3700,"꿀잠 한 스푼, 가벼운 일상<슬립 웰 필로우 미스트>",2868800,573,5006,54명
3701,"[발렌타인데이]벨기에식 수제 초콜릿, '부록하우스 쇼콜라'",2868200,573,5005,84명
3702,"내가 만든 어버이날 선물, <엄마 안내서 & 아빠 안내서>",5735500,573,1000000,365명
3703,"발을 감싸는 고급스러운 편안함, 이태리 램스판 삭스부츠",2867000,573,5003,18명
3704,5구5구 한입줄까?,1719500,573,3000,13명
3705,"우리 모두의 외로움을 위해, <일인분의 외로움>",11460660,573,2000000,548명
3706,자투리 무스탕 활용 프로젝트-천연 무스탕 손모아장갑,1718000,572,300000,98명
3707,내 곁에 오래오래 친구가 되어 줄 '단정한 체크 울코트',34355000,572,6000000,214명
3708,드라마엔 없는 리얼이야기 <현실에 그런 비서는 없습니다>,2861000,572,5001,129명
3709,빈티지함이 가득한 나만의 홈카페 [오키프 스튜디오],1716300,572,3000,69명
3710,평생쓰는 1200마리의 고양이 소스,5720000,572,10000,166명
3711,"내 책 크라우드 funding 노하우 PDF, 파일 패키지",1430000,572,250000,56명
3712,"티 소믈리에의 '집에서 떠나는 프랑스 여행, 마실the'",2859600,571,5008,75명
3713,SALON DU CHOCOLAT 2019: 다시 보기,2858000,571,5005,63명
3714,커피 한 잔 값으로 독립출판 책만들기,3173500,571,5557,324명
3715,"옛 책가도에 담긴, 오늘 당신의 취향 <비단백>",8567000,571,15003,117명
3716,잿불 속의 군단/프로키온의 무법자들,57108500,571,100014,747명
3717,"책상 위 나만의 마을, '빌리지' 오거나이저",2855000,571,500000,78명
3718,"봄을 준비하는 ""클립형 담수진주 귀걸이""",1142000,571,2000,49명
3719,귤냥이 & 귤알냥의 귀여운 합체,48509500,570,8500000,608명
3720,[공식] 부농부농 내 몸속에 모두 저장! 핑크빈 파우치,4562000,570,800000,286명
3721,"다시 돌아온 여름 핵인싸템, PVC 릴리 파우치",5701100,570,10001,250명
3722,스케치업 : 도서관,2850000,570,500000,95명
3723,"City Portraits, 가까이서 바라본 도시의 모습",2849341,569,500000,118명
3724,하얀 쥐 '데이지' 베이커리 그림책 출판하기,28492000,569,50073,720명
3725,"맞춤형 심리분석 다이어리, 마음다방",5698000,569,1000000,181명
3726,한국을 떠나려 하는 이에게 <그래서 네덜란드로 갔어>,1424500,569,2503,46명
3727,Stop&Stretch! 몸과 마음에 쉼을 선물하는 티셔츠,2848000,569,5005,59명
3728,씨흙을 더해 빚어 낸 씨드 플레이트,2846400,569,5002,93명
3729,"전통이 힙하다, 모던한 전통문양 한:멋 양면허리치마",11383000,569,2000000,72명
3730,애쉬크로프트의 <헨리 치나스키> 안경 2019 Ver.,5688000,568,10014,53명
3731,마라탕 덕후 굿즈,2843000,568,500000,234명
3732,배트맨 80주년 기념 아트북- 다크 나이트의 모든 것,28401000,568,50001,565명
3733,수달을 피해 도망쳐!! '산천어의 여정' 보드게임,2839500,567,5007,43명
3734,은근슬쩍 전하는 속마음 '메시지티 Message Tea',5676000,567,10010,136명
3735,똘망똘망 다람이 무릎담요,17026500,567,30029,680명
3737,"에코백과 샤코슈백의 만남, ""데일리 에코슈백""",3971300,567,700000,272명
3738,사막화와 냄새를 막아주는 청정 고양이화장실<레이스하우스>,5670000,567,1000000,57명
3739,시간만 야속하게 흘러간 적이 있는 분들에게 '낮과밤 3쇄',5670000,567,10000,137명
3740,"강렬한, 날것 그대로의 우리 여신 이야기『아무달 아무날』",8496000,566,15010,523명
3741,데끼르 데끼르 니홍고,10195000,566,1800000,621명
3742,[춘천일기] 우린 춘천에 가기로 했다 with 수아마노,2831069,566,5001,86명
3743,sns보다 쉬운 시쓰기 시;톡,11318000,565,20031,140명
3744,[페미니즘 에코백] 우리의 목소리는 더 높아져야 합니다,11318000,565,2000000,636명
3745,레고 타자기를 블루투스 키보드로 만들기,2829000,565,500000,53명
3746,'허리치마'로 피워낸 당신을 위한 '동백꽃',8487000,565,15021,58명
3747,낭만 한 스푼 <마이 리틀 피크닉 향수 세트>,2828900,565,5006,50명
3748,여행 실종 시대에 대처하는 여행잡지 트래비 15주년 특집호,5657000,565,10012,186명
3749,[툰툰마켓] #3 웹툰 배경을 위한 계절 브러쉬 모음,5652500,565,10004,163명
3750,자긍심으로 똘똘 뭉친 퀴어한 무지개 고양이들,8478000,565,1500000,491명
3751,"'역사의 방아쇠'를 당긴 페미니즘의 고전, <여성의 신비>",2825800,565,5001,99명
3752,스투페오 2019.1.26 신년콘서트,565000,565,1000,28명
3753,"따뜻한 겨울을 함께할 270g의 가벼움, 이태리가죽 수제화",5650000,565,1000000,42명
3754,레진코믹스 인기연재작 <킹스메이커> 단행본 애장판,282450000,564,50000000,"3,717명"
3755,"""물""보다 깨끗한 반려견 샴푸 에브라함식스 페코케어",11296000,564,2000000,335명
3756,"취준생을 위한 세상에서 단 하나뿐인, 취존감 다이어리",1694100,564,3003,131명
3757,"가을에 즐기는 여름 한스푼, 자두가 70% 들어간 자두잼",1693700,564,300000,63명
3758,한눈에 보이는 무료 글꼴 가이드 (한글판),16921800,564,30003,976명
3759,"시작의 무지개, 여덟개의 색을 '마주치다'",1690500,563,3002,43명
3760,The Legend of Gockgang-E,2817174,563,500000,106명
3761,<송오와매선> 한국 전통 매듭에 힙을 입히다.,2817000,563,5003,97명
3762,"스케치업 웹툰배경 ""학교 가는길(공원)""",1690000,563,300000,169명
3763,최신 로컬 인사이트가 모두 여기에 <로컬 전성 시대>,11265900,563,20010,504명
3764,[앙영] 조금 더 다양한 사람들을 위한 '시저후드티',56326934,563,10000000,"1,161명"
3765,잔망루피 2022 시즌 그리팅 다꾸세트,112642701,563,20000000,"2,155명"
3766,환상의 낙원 무릉도원에서 불어오는 복숭아향기 '피치블라썸',5631100,563,10001,149명
3767,한국의 자연을 담은 [한국의 향] 디퓨저와 드롭퍼,5631000,563,10001,168명
3768,FAKER _파란 거짓말,5630111,563,10000,244명
3769,겹쳐쓰는 [알파벳] 그림자 스티커,563000,563,1000,22명
3770,[1SCOOP프로젝트] 영롱함을 가득 담은 은침 달 귀걸이,1689000,563,3000,84명
3771,단 7일! 화이트데이엔 ‘레드/화이트 뱅쇼 선물세트',2814400,562,5007,117명
3772,"세상에 단 하나뿐인, 새로운 방향성의 미니멀리즘 인센스홀더",2814000,562,5007,59명
3773,"내 손으로 만드는 밀크티, 오리지널 & 스트로베리",2814000,562,5007,133명
3774,'이상한 작약' 뱃지,16880500,562,30036,718명
3775,페이트 시스템 나와라!,28094000,561,5000000,371명
3776,"""2014년 최초런칭"" 진짜 아카시아향기 루이스1987",2809100,561,5007,58명
3777,"행복한 숲의 정령의 비밀, 샤워 퍼퓸 <그리니시 상탈>",2808900,561,5006,89명
3778,thanks for coming. 제주의 여유를 담은 달력,5614769,561,1000000,395명
3779,고민해결 직빵! 고양이타로입문서와 행운의 카드 스티커,1684300,561,3002,133명
3780,여성들에게 희망의 메시지를 전합니다 & 페미니스트를 위하여,5613000,561,1000000,253명
3781,초여름의 꽃들을 담은 Summer Candy 뱃지와 굿즈,8979000,561,16005,263명
3782,"내 방 한켠의 페미니즘, 페미니즘 패브릭 포스터.",11220277,561,2000000,532명
3783,"당신의 그토록 푸르렀던 여름을 회상하며, <스머징 세트>",5610000,561,10000,146명
3784,"대놓고 월경파티, <월경피크닉>",5610000,561,10000,247명
3785,"내맘대로 꾸미는, 2020 레이어드 핸디캘린더",841000,560,1501,53명
3786,[배경키트X스냅툰] 현대도시와 문화전당,5606000,560,1000000,127명
3787,건강한 식사를 위한 실리콘 식기 <카브시리즈> 플레이트,2802500,560,500000,39명
3788,"우리의 오늘, 한복블라우스_깃든",2801000,560,5001,51명
3789,"구름처럼 가벼운 노브라 티셔츠 ""CLOFY 구름티""",6719200,559,12020,135명
3790,겨울에 맛보는 딸기루이보스,5597000,559,10012,167명
3791,마음에 독도를 두르는 '우리 독도 팔찌',2798000,559,5005,107명
3792,웹툰과 일러스트 인물을 자연스럽게 그리게 해줄 3D모델,5595000,559,10008,100명
3793,[천연 다이아몬드] 두 손을 맞잡아 영원을 약속하는 주얼리,2795000,559,5000,22명
3794,5월 가장 귀한분께 드리고 싶은 자연의 선물!,11180000,559,2000000,210명
3795,착화감 끝판왕! 디디오디디 우먼슈즈5종 신어보고 결정하세요,5584000,558,10007,50명
3796,Shall We Shell We : 모던자개 KIT,1675000,558,3001,58명
3797,"열두 살 여자아이, 진영이의 이야기 <여우 달리기>",2791000,558,500000,158명
3798,"어디든 누구와 있든 신경쓰지 않아도, 괜찮아 파자마",2790700,558,5001,34명
3799,유기견의 희망이 되어주는 티셔츠 : Crema Green,5579000,557,10016,163명
3800,"나만의 캐릭터를 키워보자, 모바일 게임 <퐁퐁두두>",11156086,557,20028,850명
3801,밤에 마시는 에티오피아 디카페인 콜드브루 커피 '자장자장',2788000,557,5005,176명
3802,"웹툰 <안녕, 엄마> 단행본 소장하기",16713000,557,30005,672명
3803,그리기 어려운 손 발을 쉽게 그리자 - 움직이는 3D 손발,6685000,557,12001,104명
3804,반지에 새긴 빛나는 우리말 반지,3340580,556,6008,82명
3805,일상의 유럽을 담은 엽서북 Reminiscences&마테,2783500,556,5006,99명
3806,"지지않는 곳으로 가자, 버둥1집 실물앨범 제작",11131000,556,2000000,232명
3807,블렌딩 티 전문 브랜드 베러댄알콜의 밀크티베이스 5종!,11128500,556,20015,280명
3808,수채화를 그리기 위한 키트『수채화로 그리는 꽃 선물 박스』,5564200,556,10007,157명
3809,달콤한 11월 11일♥️ 글라소디 초코빼빼롱과 스틱초콜릿,2782000,556,5003,89명
3810,일상을 사랑스럽게! 알록달록 알파벳 스티커,1668000,556,3000,51명
3811,추석맞이 수제양갱&쌀월병,556000,556,1000,12명
3812,[앵콜전]'전래동화'를 통한 문화유형 계승 굿즈 ver.2,13890000,555,25027,553명
3813,나를 행복하게 만들어줄 작은 책 <TINY BOOK>,4444000,555,800000,218명
3814,"일상은 더 스마트하게, 여행은 더 완벽하게, 어태치 월렛",2777250,555,5004,30명
3815,쟈쟈의 홈카페 레시피 31가지,2277082,555,4102,219명
3816,<단어 몰라도 자연스러운 영어가 된다고?>,2776800,555,5003,133명
3817,생명을 살리는 길고양이 임보 이야기,11093700,554,20024,471명
3818,27년차 니트디자이너가 만든 프리미엄 홀가먼트 니트가디건,5546000,554,10010,69명
3819,그대에게 전하는 꽃말의 의미 '실링왁스 스탬프',2772500,554,5004,88명
3820,"손은가볍게, 일회용 컵 사용은 줄여주는, 카인드백",2772000,554,5003,97명
3821,"은밀하고 위대한 100년의 기록, 『타투 디자인 대백과』",5543000,554,1000000,135명
3822,할 수 있다!<독립출판제작자를 위한 대형서점 유통 가이드>,11084000,554,2000000,590명
3823,"사생활 노출은 싫지만 셀카는 올리고 싶어, Rippler",2770800,554,500000,42명
3824,'방콕러'를 위한 갬성스러운 '홈카페 프로젝트',1662000,554,300000,59명
3825,카리스마 로판 남주를 위한 바로크무늬세트,5537000,553,10012,140명
3826,페미니즘 뱃지& 스티커 - 모든 여성들을 응원합니다.,5537000,553,10012,757명
3827,"투명하게 빛나는 우연의 아름다움, 비정형 유리 주얼리",5533000,553,10005,126명
3828,타지에서 만나면 더 반가운: 한국인의 여권커버 <한꽃커버>,2765000,553,500000,110명
3829,신비로운 요괴와 괴물의 이야기 < 괴물사전 > - 동양편,27645000,552,50081,950명
3830,네이버웹툰 <정순애 식당> 단행본 1-5권 제작,55274750,552,100135,"1,071명"
3831,문장모음집『나는 가만히 앉아서 열댓 번이나 말문을 열지만』,4142000,552,750000,186명
3832,"오래된 레코드판으로 노트를 만듭니다, [LP 노트]",5521500,552,10002,233명
3833,야외 실사판 미션추리게임 <구룡마을의 전설 : 용의 승천>,2760000,552,500000,130명
3834,실용성과 트렌디함을 겸비한 가방. RIHO 3way 토트백,2760000,552,500000,23명
3835,웹툰 배경 스케치업 - 오락실,2760000,552,500000,138명
3836,[나의 이혼 이야기]세계최초 이혼하는 모바일 어드벤처 게임,2759932,551,5008,315명
3837,진눈깨비소년 썸머 패키지,27592333,551,5000000,782명
3838,100장의 사진으로 만든 '100p',2759000,551,5007,42명
3839,맛있는 스시를 만들어보자! 파티게임 <스시홀릭>,11032007,551,20021,360명
3840,"사라져가는 활자,불변활자도장",5515000,551,10009,188명
3841,예술가의 정원: 씨앗부터 시작하는 나만의 정원 생활,5515000,551,10009,107명
3842,7년차를 맞은 덕업일치의 기록: 지금 나만 할 수 있는 말,6286000,551,1140000,261명
3843,"보기에도, 읽기에도 좋은 도서본문을 설정하는 32가지 방법",16537500,551,30013,686명
3844,귀여움의 전설을 만나다! <단발냥네 깜수씨> 단행본&굿즈,8268337,551,1500000,345명
3845,몽글몽글 따뜻한 달보드레 [전통한복 자수코트],5512000,551,1000000,24명
3846,"당신이 몰랐던 검은 대나무 이야기, 이도백 클래식",2756000,551,5001,13명
3847,"흩날려라, 오브젝트 소재들!",2756000,551,5001,119명
3848,"""나는 길고양이와의 공존에 동참합니다"" 안내서 + 뱃지 등",27546500,550,50084,999명
3849,"기억해주세요! 한국의 ""멸종위기동물""트럼프카드",16523000,550,30041,493명
3850,"가을을 준비하는 자세, 어느쪽도 예쁜 '양면 골덴 에코백'",5507000,550,10012,92명
3851,"[제스카키]속옷같지 않은 속옷,프리미엄 여성용 트렁크 팬티",5505100,550,10009,163명
3852,"조선판타지 괴물 추리게임, <청구야담 : 팔도견문록>",55049000,550,10000000,985명
3853,요트 돛의 메이크오버 프로젝트! '세일업',2752000,550,500000,32명
3854,"그룹홈 아이들에게 빛나는 가정을, <LED 겨울 워터볼>",5500900,550,1000000,225명
3855,"한편, 여기 브라가 불편한 당신을 위한 편안한 속옷",11001000,550,20001,468명
3856,"웹툰 스케치업 배경/원룸(베란다), 복도계단, 건물",5500000,550,1000000,110명
3857,"더 많은 걸 원하는 비건들의 이야기, VEGANS’MORE",6595000,549,12012,292명
3858,"먼지와 변색이 걱정이라면, 슬라이드 뱃지 보관함",3297000,549,6005,117명
3859,중세 판타지 어둠이 스며든 마을,5494000,549,10007,62명
3860,[제_비혼식에_초대합니다] 비혼 선언 뱃지,1922500,549,350000,158명
3861,"2017 해리포터 통합 배포전 ""포터 국장님의 생일파티""",2746000,549,500000,183명
3862,연리 한복 일러스트 전시,5491000,549,1000000,259명
3863,햇빛에 반짝이는 7개의 작은 보석들,2745000,549,5000,64명
3864,"일러스트레이터미네이터 키크니 에세이 '일상, 다 반사'",5486000,548,10010,176명
3865,Palette for twitter,6030378,548,1100000,495명
3866,수채화를 머금은 봄꽃 귀걸이,1096300,548,2000,28명
3867,[상상토끼 시네마틱 폰트 시리즈] 나쁜놈 패밀리,5480000,548,10000,191명
3868,웹툰상생프로젝트#7 크리스마스,2740000,548,5000,137명
3869,공연예술과 봉제 명장이 만난 작품 '향연 바람막이',6574000,547,1200000,99명
3870,독립출판 베스트<지금 여기를 놓친 채 그때 거기를 말한들>,5477400,547,10013,249명
3871,"온전히 나에게 집중하는 시간, '해거리 무드등 화분'",2738700,547,5006,77명
3872,"스코틀랜드의 감성과 따뜻함, 해리스트위드 머플러",2737000,547,5003,40명
3873,"당신을 위로하는 패브릭포스터, <In the Moment>",2736300,547,5002,72명
3874,즐거운 묘생을 위한 천연깃털 리필 냥난감 & DIY KIT,2734000,546,5007,80명
3875,홈카페 행복프로젝트 3탄 찐 밀크티,2732800,546,5005,94명
3876,"현시대 새로운 가족의 형태를 정의하다, 단편영화 <뉴파더>",4370000,546,800000,58명
3877,"보통의 에세이북 <다시,보통날>",5460000,546,10000,172명
3878,웹툰을 위한 동양 옷감 브러쉬와 패턴세트! 금상첨화일세!,5460000,546,1000000,111명
3879,세상에서 제일 편한 브라 만들기 : 브라렛제작소,40913500,545,7500000,917명
3880,다육마을의 삐약이 삼형제,1091000,545,200000,45명
3881,"그 날을 잊지 않는 방법, '세월호 굿즈'",2727416,545,5004,166명
3882,박필규 9년만 첫 앨범 <스며든다> ONLY 텀블벅 스페셜,8181207,545,1500000,122명
3883,어른들이 더좋아하는 전통味[맛 미] 가득한 마카롱 선물세트,2726180,545,500000,52명
3884,"올 겨울, 독립운동가 후손들의 목도리가 되어주세요.",5449500,544,1000000,236명
3885,애니메이션풍 남녀 3D 캐릭터 소재 세트,21791000,544,4000000,156명
3886,프리미엄 초콜릿살라미와 함께하는 달콤한 추석!,5447200,544,10013,125명
3887,<4 in 1 분리형 체어> 복잡한 세상 편하게 살자!,1089000,544,200000,12명
3888,"국민대 고양이 추어오, 국냥별로 떠난 국냥이들",10888000,544,20014,447명
3889,"빈칸을 채우면 이야기가 되는, 시나리오 견적서",27215000,544,5000000,"1,148명"
3890,김철수씨 이야기2,5442436,544,1000000,188명
3891,‘화가의 티타임’을 즐길 수 있는 ‘애티캣 블렌딩 티백’,4233000,544,7781,19명
3892,2019 굴리굴리 캘린더,16314000,543,30044,384명
3893,"도시괴담 소설집 <괴이, 서울>",8153000,543,1500000,476명
3894,"10년이상 벗겨지지않는 코팅, 이노블 프라이팬!",5432200,543,1000000,54명
3895,모바일 게임 '표류소녀' OST & 굿즈,16290499,543,30000,527명
3896,사랑스러운 매듭 핸들과 9개의 수납공간: 예다백,5429100,542,10016,114명
3897,"""데이지를 입양해주세요!!"" 굴리굴리프렌즈",27142000,542,50077,597명
3898,오늘도 베이비박스는 열립니다,4071000,542,7511,372명
3899,누구나 쉽고 편하게 코디가능한 <모란나비 데일리가방>,2713000,542,5005,43명
3900,"디자이너라면 욕심나는 내 제품 만들기, <맨땅에 제조>",16277000,542,30031,853명
3901,뽑아쓰면 뽑히는 회사소개서 제작 가이드북,27126000,542,5000000,902명
3902,내 손에 아케인리버 휴대폰케이스,5966004,542,1100000,252명
3903,보름달처럼 풍성한 프리미엄초콜릿살라미로 달콤한 추석 보내요,2711200,542,5002,49명
3904,오리와 아보카도의 만남! 아보카덕 쿠션담요,27109200,542,5000000,795명
3905,"보통날 앞치마, 일상의 원피스 [사계절 레이어드 원피스]",5418000,541,1000000,70명
3906,"""아내를 위한 연구원 남편의 토너"" 파밀리아랩 더 싱글토너",2709000,541,5007,78명
3907,크림히어로즈 크로스 에코백,54168000,541,100125,"2,392명"
3908,"한땀한땀 멍때리기, 가죽공예 DIY KIT",5411000,541,1000000,108명
3909,웹툰 배경 스케치업_SF동양 슬럼,5410000,541,10000,54명
3910,"나를 더 반짝이게 해 줄 유리귀걸이, 유리주",2705000,541,500000,127명
3911,연말연시 홈파티 대성공 보장! 색감대박 맛있는 후무스 4종,2704300,540,5007,94명
3912,짐 자무쉬 감독 <패터슨> 블루레이 프리미엄 박스판 발매,54076400,540,10000000,741명
3913,미친 단백질함량 39% 더욱 강력해진 단백질 그래놀라,16221000,540,30038,354명
3914,"복숭아즙과 살구 과육을 가득 담은, 프시케",5401800,540,10003,274명
3915,"어디든 아늑한 공간으로, 모아X오니프 라이트하우스 키트",8102100,540,15003,184명
3916,진짜 하루만에 이해하는 재무제표 & 차트,5400000,540,10000,246명
3917,페이퍼리스 라이프를 위한 [100종 디지털 노트 양식],4320000,540,8000,185명
3918,인생에서 가장 기억에 남는 초콜릿! YOLO 욜로 초콜릿,540000,540,1000,5명
3919,iPad에서 즐기는 국산 전략 게임!,5400000,540,1000000,96명
3920,[지구를살리는 착한 장바구니] 가볍게 접어서 가방에 쏙!,2699000,539,500000,91명
3921,스케치업 웹툰배경 컨셉 Vol . 2 악의조직,2698000,539,5005,71명
3922,"문화예술 겉핥기 매거진 <껍질> 2호, '미신'",5394000,539,1000000,206명
3923,분위기를 더해주는 섬유향수 <룸 앤 패브릭 미스트>,2696550,539,5002,100명
3924,손안의 작은 아트북 <클래식 신시어>,2696500,539,5002,62명
3925,퓨어몰드 골드시리즈,5392000,539,1000000,137명
3926,"페미니즘 : ""SHERO 프로젝트 - 1""",10783000,539,2000000,555명
3927,"고양이로 즐기는 고양청자, 고양청화백자",5389000,538,1000000,268명
3928,유럽 여성의 고전 복식 일러스트북 2,21552000,538,40059,832명
3929,"당신 옷에 초록 향기를 선물해요, 섬유 유연제 향 섬유향수",2693300,538,5006,188명
3930,Library of Ruina 더빙 및 OST 제작,269315426,538,50000000,"1,389명"
3931,"<평화, 새로운 시작> 뱃지",2691000,538,5001,160명
3932,"술라(SULA), 막걸리와 전통주를 위한 금속 테이블 웨어",10757000,537,20031,193명
3933,"블랙 다이아몬드, 행운을 가장 가까이에 지니다",2687990,537,500000,29명
3934,"유기견, 유기묘 아이들에게 희망을! '유엄빠x레오트'",9675000,537,1800000,389명
3935,새해에는 소중한 사람들과 함께 한 잔! 묘약 담금주키트,5375000,537,10009,101명
3936,대동강 물처럼 흐르는 더부스 '대동강체' 폰트,4298104,537,800000,689명
3937,"남다른 '당신'을 위한, 멀티 에코백 [공용]",2685000,537,500000,140명
3938,"어울리지 않는 이름, 못난이 진주",2684900,536,500000,143명
3939,"매일 발렌타인처럼, < 빈 투 바 데일리 키트 >",5369000,536,1000000,142명
3940,『Huimi: 희미』일곱가지의 희미한 여행을 엮다.,2147000,536,400000,38명
3941,기분좋은 풍선 초콜릿 빼빼로데이 ! 수능선물 ! 어떠세요?,5367000,536,10013,146명
3942,사랑합니다! 마음만큼 착한가격 어버이날 플라워 용돈박스,268000,536,50000,15명
3943,커피 배달이요~ 즐거운 커피 브레이크를 위한 매직 텀블러,5358000,535,1000000,112명
3944,당신의 진로고민을 타파할 고민학습지 <프로진로고민러>,16072000,535,3000000,548명
3945,글라소디 '마시는' 초콜릿과 '맛있는' 브라우니 파티!,1607000,535,3003,78명
3946,"첫 학교 이야기를 묻고 답하다. ""저도 교사는 처음이라""",2678000,535,5005,107명
3947,"[아프리카의 봄] 루이보스, 당신이 찾고 있을 특별한 선물",5355500,535,10010,212명
3948,"지게미로 매일매일 케어하는 고운 손, ‘지게미 핸솝’",2677120,535,5003,155명
3949,글라소디: 봄이 좋아 만든 봄 초콜릿 프로젝트 :),1552000,535,290000,62명
3950,홋카이도 여행 안내서,26736333,534,5000000,739명
3951,매거진 프리즘오브 1호 / 3호 발간,18705000,534,35028,600명
3952,<호밀밭의 파수꾼> 홀든 콜필드와 피비 콜필드 안경시리즈,5342000,534,10003,57명
3953,"웹툰 ""숨비야 울어"" 단행본 제작",16023100,534,3000000,487명
3954,커피 브루잉이 만드는 완벽한 일상,2670200,534,500000,62명
3955,[묘한량 뱃지] 한량을 꿈꾸는 당신에게,2668000,533,5005,183명
3956,구렁덩덩 신선비 향로 & 반지,1867400,533,3503,35명
3957,"고양이 젤리를 수놓은 수건, 꾹꾹 밟았다냥 <캣타월>",2667332,533,500000,105명
3958,서울대 레즈비언 학생회장 김보미<행복이 더 멀어지기 전에>,10666850,533,2000000,488명
3959,공포로부터 자유로울 순 없다! 공포 오컬트 잡지 호러즈,14393000,533,27003,744명
3960,[파퓸드블랑] 밤의 여왕 '자스민'이 선사하는 매혹의 향기,2665000,533,5000,73명
3961,스케치업 웹툰배경 경복궁 : 경회루,5330000,533,10000,43명
3962,[앵콜] 오얏꽃 피던 봄날을 기억하나요 오얏꽃뱃지 부토니에,2664800,532,500000,164명
3963,<들개> 각본집 2nd 에디션 발간,15984310,532,30045,639명
