,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
83,지나가는 행운도 붙잡아줄게! 22년 행운의 노방 포스터,"18,623,000",1773,배송 완료,448명
84,BEM FW 17 - 김에테르 (Ether Kim),"3,547,000",1773,"200,000",83명
85,디퓨저의 향기를 풍부하게 만들어주는 '향기 부스터',"8,842,300",1768,"500,000",112명
86,아이들의 웃음을 되찾아주세요,"5,303,700",1767,"300,000",454명
87,"짜릿한 대화를 위한 카드게임, Pick Your Card","17,667,500",1766,"1,000,000",480명
88,"<케키바이고미>『빵빵한 아이패드,노트북 파우치』","17,650,000",1764,배송 완료,417명
89,"웹툰, 일러스트를 위한 감성 꽃 브러쉬","17,630,000",1763,"1,000,000",550명
90,집콕러들을 위한 디저트 만들기 'cocopro',"17,629,000",1762,"1,000,000",202명
91,"나만을 지켜줘, 경호요원 리얼 연애 RPG <솔티 하운즈>","176,987,900",1769,"10,000,000","1,919명"
92,양념치킨스케치업배경 회사/시내버스/영화관/주유소/다리뚝방,"8,790,000",1757,"500,000",164명
93,6.25 한국전쟁 | 여성의용군 | 기억의 시작 1,"8,788,500",1757,"500,000",566명
94,"조선 도검 제작자의 수작, '철제금은입사 사인검' 편지칼","12,303,000",1757,배송 완료,145명
95,웹툰 스케치업 : 프로젝트 청계천,"35,142,600",1757,"2,000,000",364명
96,단행본으로 나왔다! 아름다운 애완인간,"16,680,999",1755,배송 완료,"1,093명"
97,한국판타지 시리즈: 잊혀져가는 아름다운 우리 신화 사전,"35,117,000",1755,"2,000,000","1,571명"
98,새로운 다이어리의 기준 <2022 사계절 다이어리>,"8,777,000",1755,배송 완료,180명
99,100년 전 생존을 위한 요리법 <세계대공황 레시피북>,"26,327,500",1755,"1,500,000",881명
100,몽토리 웹툰배경 프로젝트 - 상가거리,"17,550,000",1755,배송 완료,376명
101,"겨울의 옷, 한텐 HANTEN","152,680,000",1754,"8,700,000","1,601명"
102,"가벼운 귀걸이, 지예석 12달 ""탄생달 귀걸이""","5,264,000",1754,배송 완료,140명
103,"우리의 눈꽃은 그들의 빙판이 되어, 국가대표를 응원합니다.","12,282,523",1754,"700,000",813명
104,"월간커피, 초콜릿 케이크와 레드 와인 같은 콜드브루 커피","8,764,000",1752,배송 완료,494명
