,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
108,"하루 20분씩, 엄마와 함께하는 초딩들의 돈 공부!","5,199,650",519,배송 완료,261명
109,네이버웹툰 <독립일기> 상큼발랄 케이스세트로 돌아온 바보개,"51,991,000",519,"10,000,000","2,089명"
110,한국사람들도 잘 모르는 한국계 귀신고래의 이야기,"5,199,000",519,"1,000,000",131명
111,"여름을 함께할 아르카나 보틀, 뱃지, 파우치","10,393,500",519,배송 완료,509명
112,꽃의 여신이 선물한 영롱한 빛의 4캐럿 시뮬럿 다이아몬드,"5,196,000",519,배송 완료,31명
113,꼭 알아야 하는 [12명의 여성 위인전],"15,584,000",519,"3,000,000",753명
114,기모 니트 밴딩스커트로 꽉 잡은 따뜻함! 편안함은 덤으로!,"2,595,000",519,배송 완료,67명
115,비혼 여성들이 만드는 비혼 잡지 <Magazine 批>,"5,190,000",519,배송 완료,171명
116,신선한 봄 향기 당신께 드려요 '생활향수',"5,189,000",518,배송 완료,109명
117,52인의 탐정들을 만나다. <세계 탐정 사전>,"7,782,500",518,"1,500,000",296명
118,미식가의 필독서 <미식 잡학 사전> 2쇄 기념 앵콜전!,"10,375,000",518,배송 완료,160명
119,[앵콜전] 본격 고양이 발도장 남기기!! 넌 내꺼다냥,"2,593,000",518,"500,000",82명
120,도우도우 & 모우모우 모찌인형,"51,849,611",518,"10,000,000","1,841명"
121,'그대로도 아름답게' 순수한 기록 (프로필 사진),"5,184,000",518,"1,000,000",68명
122,알록달록 수제 초콜릿,"1,555,000",518,배송 완료,55명
123,"따스한 봄날, 포근하고 은은하게 < 샴푸향 향수 >","5,182,390",518,배송 완료,78명
124,"아기자기하고 실용적인 웹툰, 일러스트용 보석 장식 소재","5,181,000",518,배송 완료,153명
125,[피카타임 하세요♥️] 골든에그 ‘휘낭시에’ 세트,"1,554,000",518,배송 완료,45명
126,"천연가죽 100% 카드지갑,명함지갑,반지갑기능을 하나로~~","1,552,500",517,"300,000",133명
127,"""치앙마이가 옵니다"" 전시&토크 콘서트","1,035,000",517,배송 완료,47명
128,누구나 쉽게 타로를 볼 수 있는 '별 타로',"77,620,400",517,배송 완료,"1,085명"
129,20%가 단백질로 이루어진 신개념 그래놀라,"15,494,500",516,배송 완료,415명
130,당신의 마음을 치유하는 6가지 향기,"5,161,000",516,배송 완료,86명
131,"젠더 뉴트럴 드레스퍼퓸, 나를 완성시키는 섬유향수","5,160,000",516,배송 완료,75명
132,"2020년을 찾아온 나혜석 선생님, <구구문고>","5,107,820",515,배송 완료,435명
133,온 가족이 좋아하는 양갱 종합 선물 세트!,"5,158,000",515,배송 완료,114명
134,로맨스 판타지 장르를 위한 * 아르누보풍 말풍선 프레임,"5,156,000",515,배송 완료,180명
135,"[버티컬 퀼티드 패딩] 가볍고, 귀엽게 입는 아우터","2,578,000",515,배송 완료,18명
136,출판사에서 직접 만든 <독립출판 가이드북>,"6,698,000",515,배송 완료,441명
137,네모난 동물들의 작은 이야기 <픽코의 동물친구들>,"10,304,500",515,배송 완료,207명
138,웹툰을 더욱 빛내줄 소재 : 하늘과 구름,"5,150,000",515,"1,000,000",103명
139,<천관사복> 우리말 더빙 한정판 DVD 패키지,"257,468,713",514,배송 완료,"2,089명"
140,내일은 비가 오지 않게 해주세요! <맑음이와 용산>금속뱃지,"1,287,000",514,"250,000",93명
141,아내폭력 생존자 수기집 <그 일은 전혀 사소하지 않습니다>,"7,718,000",514,배송 완료,295명
142,"일상에 더하는 고운 생기, [화수목금] 화병과 침봉","5,145,000",514,배송 완료,100명
143,제주종이가게[맑은 날 제주]엽서책+굿즈,"5,145,000",514,배송 완료,140명
144,일상 속 한복의 모습 [겨울 벚꽃 생활한복],"2,572,000",514,배송 완료,26명
145,당신의 좌우명은 무엇인가요?,"10,285,000",514,"2,000,000",392명
146,"심리 전문가와 함께한 하루, <마인드 다이어리>","2,570,700",514,배송 완료,115명
147,몰랑이와 친구들 피규어 5종셋트 Ver.3,"15,412,000",513,"3,000,000",384명
148,앵콜!도깨비를 찾아서,"2,568,000",513,"500,000",252명
149,"방구석 여행, <언톨드월드> 마그마어드벤처 탐험대 모집!","5,135,500",513,배송 완료,84명
150,"동양풍 웹툰, 디자인을 위한 꽃과 브러시","9,243,000",513,배송 완료,208명
151,"[봄, 패션] 봄 아우터 가죽자켓 [브랜드]","5,135,000",513,배송 완료,29명
152,스스로 건강의 길을 찾는 내 몸 치유 안내서,"5,153,900",515,"1,000,000",99명
153,스케치업 웹툰배경 액션맵,"1,540,000",513,배송 완료,78명
154,"한국의 색, KOREAN TRADITIONAL COLORS","43,621,000",513,배송 완료,"1,366명"
155,"스코티쉬폴드의 ""슬픔""을 기억해줘 - 슬픔을 담은 손거울","1,026,349",513,"200,000",166명
156,[DIY] 나만 빼고 다 있는 귀도리 만들기,"3,076,500",512,"600,000",187명
157,"세월호 2주기, 다들 잊지 말아주세요.","1,538,000",512,배송 완료,101명
158,"영국 독립출판계의 아이돌, 로버트 헌터의《하루의 설계도》","12,814,233",512,배송 완료,541명
159,물과 지문에도 안전! 코팅버전으로 다시 돌아온 오뜨달뱃지,"20,478,000",511,배송 완료,687명
160,"평범한 사람들 속, 가장 빛나는 나를 만들어줄 패션가이드북","2,559,100",511,배송 완료,71명
161,말린 꽃 같은 영롱한 색감의 '한정판 컬러 카드지갑',"2,559,000",511,배송 완료,55명
162,"함께하는 시작, 같이의 가치 ‘마누세라 스킨케어’","511,500",511,"100,000",27명
163,캣치캣츠 : 고양이와 반려인을 위한 스마트 장난감,"25,564,356",511,"5,000,000",424명
164,서울의 작은 바다 해수향당에서 만드는 향기의 모습 그 시작,"2,812,000",511,배송 완료,60명
165,센스있는 크리스마스 디저트 '크리스마스 케익볼',"2,556,000",511,배송 완료,121명
166,와글와글 페르소나,"1,532,000",510,"300,000",77명
167,효율적인 작업을 위한 포토샵/일러스트 단축키 마우스 패드,"10,211,000",510,배송 완료,473명
168,"시인의 향수, ""풀꽃"" 그리고 ""목련꽃낙화""","5,104,000",510,배송 완료,64명
169,올-라운드 문예지 <TOYBOX> VOL.5 '편지',"15,311,000",510,배송 완료,557명
170,조선시대 엑스트라 120,"5,103,000",510,배송 완료,90명
171,달님을 위한 어른들을 위한 동화 《달과 경찰》,"10,205,000",510,배송 완료,641명
172,"해치실버반지 ""재앙을 막는 신수를 내 손안에""","510,000",509,배송 완료,6명
173,[이런저런 잡화점] 4계절 블라우스,"5,100,000",509,"1,000,000",116명
174,가우스전자 웹툰 마지막 시즌에 찾아온 한정판 보드게임,"7,640,000",509,배송 완료,203명
175,그들이 기획한 데뷔 15주년 기념 데뷔 EP [안녕],"2,546,000",509,배송 완료,65명
176,소녀들에게 생리대를 선물해주세요!<소녀에게 뱃지>,"2,545,000",509,"500,000",286명
177,싱어송라이터 타마라킴의 따뜻한 자선앨범 LOR,"5,089,000",508,"1,000,000",68명
178,"누구나 입을수 있지만, 아무나 입지 않는 겨울 점퍼 ""폴""","15,266,400",508,배송 완료,137명
179,"일상에서 만나는 행'복', <호랭이 유리컵과 복 포스터>","2,544,200",508,배송 완료,82명
180,발렌타인을 위한 글라소디의 특별한 초콜릿바를 소개합니다!,"1,526,500",508,배송 완료,42명
181,좋아한다고 했더니 미안하다고 말했다.,"2,544,000",508,배송 완료,156명
182,대통령 후보와 국민의 약속 - 공약에코백 “5년의 약속”,"25,435,100",508,배송 완료,"1,318명"
183,"나무 심는 커피, MYF 커피","5,086,000",508,배송 완료,45명
184,역사알리기 프로젝트 1탄 : 시인 윤동주 자수맨투맨,"7,628,000",508,배송 완료,164명
185,"오미생이 전하는 첫 이야기, 피쉬보울 자수맨투맨","2,745,800",508,배송 완료,42명
186,[떠먹는 잼? 디저트?] 꾸덕꾸덕 초콜릿^ㅡ^,"2,542,000",508,배송 완료,91명
187,디지털 연필,"3,954,000",508,"777,777",443명
188,2021년 달력 <나의 식탁>,"5,081,000",508,배송 완료,220명
189,전직 여군의 군생활 일기 <잘 못들었습니다?>,"5,080,151",508,배송 완료,269명
190,"한옥의 모든것: 한옥. 보다, 읽다","50,787,000",507,배송 완료,"1,177명"
191,"""나는 우리 애들이 삼성 간다 할까 두렵다"" 출판","5,078,499",507,배송 완료,39명
192,동양풍 문양 장식 브러쉬 & 장신구,"5,078,000",507,배송 완료,146명
193,"변하지 않는 마음을 담아, 요나폿의 세번째 휘낭시에 이야기","2,539,000",507,"500,000",58명
194,터치 몇번에 배경이 뚝딱!<자연물 브러쉬>,"2,031,000",507,배송 완료,79명
195,<버려진 도시들 : 폐허도감> 버려진 도시의 오늘을 엿보다,"15,230,000",507,배송 완료,353명
196,"어둠을 다스리는 '사'와 '귀', 현무","2,791,600",507,배송 완료,67명
197,"레인보우 곰돌이, 어떤 공간도 자긍심으로 물들여줄테다!","10,148,456",507,"2,000,000",314명
198,"[9월 블렌더스] 가을 향기를 담은 커피, 너티 멜로우","2,536,000",507,배송 완료,105명
199,구작가 베니의 '2018 참 괜찮은 하루' 만들기,"25,360,000",507,배송 완료,897명
200,"쿠키로 떠나는 여행, 요나폿의 뉴욕 쿠키","2,535,000",507,배송 완료,60명
201,웹툰 스케치업-실내 인테리어,"2,535,000",507,배송 완료,41명
202,웹툰 지원!! 스케치업 프로젝트 - 유흥거리,"5,070,000",507,배송 완료,147명
203,슬기로운집사생활,"2,534,000",506,배송 완료,75명
204,독특한 종류의 꽃 컬러 브러쉬와 후광&문양프레임,"5,066,000",506,배송 완료,146명
