,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
410,좋은 말 뱃지들 : 하고싶던 말 들,"4,253,500",4253,"500,000",348명
411,창작자를 위한 아르누보 패턴 브러시,"21,249,000",4249,"500,000",801명
412,조개껍데기는 녹슬지 않는다. 자개 명화 그리기,"21,142,000",4228,"500,000",479명
413,배조임없는스타킹으로 편안하게 겨울나기,"42,276,315",4227,"500,000","1,222명"
414,"[스케치업 웹툰 배경] 커스터마이징 펜트하우스, 1탄","21,062,000",4212,"500,000",234명
415,"고려시대와 조선시대, 웨딩 컨셉으로 풀어낸 두 시대의 한복","41,864,000",4186,"500,000",195명
416,"제주의 봄을 맛보다, 제주금귤 유자 초콜릿","20,926,800",4185,"500,000",751명
417,"유니크하다고 자부합니다, 신들의 향을 담은 '르파써'","41,782,000",4178,"500,000",868명
418,신기방기 손 포즈집 - 1000개 이상의 3D손 포즈,"41,780,000",4178,"500,000",335명
419,조연은 그만. 오늘은 내가 주인공 할게요 <안개꽃 향수>,"20,880,000",4176,"500,000",574명
420,"일상의 편안함에 한복의 미를 더하다, 우리;의(衣) 홈웨어","20,863,000",4172,"500,000",252명
421,"우리가 사랑하는 물의 순간, <아카이브 오브 워터>","29,127,000",4161,"500,000","1,179명"
422,웹툰 스케치업 배경-뒷골목UP,"20,760,000",4152,"500,000",173명
423,소중한 당신을 위해 샴푸부터 바꿔봐요! 비건 고체샴푸바,"12,453,500",4151,"500,000",359명
424,"한텐? 아니요 마고자인데요? 우리 겨울옷, 마고자","248,966,990",4149,"500,000","2,379명"
425,"웹툰 스케치업 배경 판타지도시,시골마을","20,740,000",4148,"500,000",308명
426,[스케치업 웹툰배경] 무협 사극 배경,"41,375,000",4137,"500,000",331명
427,뚜껑이 없어도 마르지 않는 '에어리스 12색 사인펜',"12,381,000",4127,"500,000",564명
428,장애묘의 집사가 되어 주세요 : 완벽하지 않아도 괜찮아,"12,359,000",4119,"500,000",948명
429,"영원히 너를 안아줄게,나의 반려동물 털반지 [리멤버 허그]","41,025,000",4102,"500,000",352명
430,우 리 동 네 2 . 0,"41,020,000",4102,"500,000",329명
431,"수백 가지 조합으로 빠르게, [판타지 의상 디자인 키트]","32,800,000",4100,"500,000",756명
432,아름다운 페이퍼 돌이 시대를 초월한 클래식 동화와 만났다!,"12,295,500",4098,"500,000",662명
433,달 한 잔 하실래요? 추석맞이 주병선물세트,"16,344,000",4086,"500,000",334명
434,(100개 한정)여정을 기록하는 하나뿐인 세계지도 배낭,"40,780,000",4078,"500,000",172명
435,"시를 품은 동주의 가방, 6공 다이어리","40,778,500",4077,"500,000",938명
436,"디자이너, 창작자, 프리랜서가 꼭 알아야 할 <세무>","12,200,900",4066,"500,000","3,442명"
437,세렌 웹툰 스케치업#7 테헤란로 도시거리&상점가,"40,630,000",4063,"500,000",373명
438,"소복이 쌓이는 향기, 인센스홀더 '설와'","20,275,000",4054,"500,000",425명
439,앤티크하고 빈티지한 일러스트 타로카드 세트,"40,257,000",4025,"500,000","1,015명"
440,12년동안 5천개 제품 써보고 만든 속건조 진정 에센스,"40,063,799",4006,"500,000",760명
441,"DIY 오르골, 여러분의 멜로디를 담아보세요","59,964,000",3997,"500,000","1,538명"
442,[취생몽사] 취한듯 살다 꿈꾸듯 죽는 삶의 향기를 담아내다,"19,738,000",3947,"500,000",328명
443,셰프 줄리아 차일드의 프랑스 요리의 기술,"39,433,800",3943,"500,000",727명
444,"비혼 여성들을 위한 경제지침서, BECONOMY(비코노미)","78,599,000",3929,"500,000","2,873명"
445,보호종료아동의 꿈을 담은 버킷백 & 뱃지,"19,642,508",3928,"500,000",734명
446,"여름엔 가볍게 한 장만 걸치세요, '노브라 반팔 셔츠'","39,100,000",3910,"500,000",803명
447,비전공자/프리랜서/신입을 위한 편집 디자인 실무 가이드북,"38,990,000",3899,"500,000","1,268명"
448,"전통패턴 그대로, 간편하게 즐기는 저고리 원피스","65,310,000",3887,"500,000",349명
449,TEA전문가 큐가든의 세젤맛 밀크티 2탄!! 밀크티 KIT,"19,423,500",3884,"500,000",414명
450,잠 못 이루는 엄마를 위한 숙면베개 <깊은잠공방>,"11,594,512",3864,"500,000",434명
451,박나나 키보드 장패드,"134,703,500",3848,"500,000","5,064명"
452,웹툰 [병원]스케치업배경 !,"38,416,000",3841,"500,000",743명
453,"디지몬 어드벤처 - 버터플라이, 브레이브하트 앨범 발매","1,342,749,000",3836,"500,000","27,457명"
454,[스케치업 배경] 소박하지만 아늑한 빅토리아 시대 하우스,"38,335,000",3833,"500,000",697명
455,"세상에 오직 하나, 한국의 판타지 아이템 도감","76,553,500",3827,"500,000","2,404명"
456,서산의 그림자 : 56년간 잃어버린 우리의 달을 찾아주세요,"15,288,933",3822,"500,000",933명
457,"디자이너, 창작자, 프리랜서의 [권리]","11,442,200",3814,"500,000",576명
458,"사계절 테마 악세사리 - 귀걸이/귀찌, 책갈피, 핀, 반지","11,428,000",3809,"500,000",269명
459,"신의 반열에 오른 인간, 영생을 얻는 매혹적인 금단의 술.","18,992,000",3798,"500,000",469명
460,"2021년 귀신고래의 행운을 담은, 고래도장 & 명함디퓨져","18,986,000",3797,"500,000",394명
461,웹툰 스케치업 프로젝트_03.대학교,"37,861,000",3786,"500,000",633명
462,세렌 웹툰 스케치업#10 학교 3종 외부와 내부 세트,"37,860,000",3786,"500,000",438명
463,당신의 덕질을 완성하는 하나뿐인 디지털 다이어리 <취미록>,"11,324,500",3774,"500,000",491명
464,<모퉁이 뜨개방> 단행본 제작,"339,298,700",3769,"500,000","7,436명"
465,"나는 화가 날 때 일기를 써, 하이드의 극대노 다이어리","37,650,000",3765,"500,000","1,560명"
466,기억하시나요? 그때 그 추억의 로션 향기,"18,818,100",3763,"500,000",362명
467,비전공자를 위한 이해할 수 있는 IT 지식,"75,130,433",3756,"500,000","4,493명"
468,"[꼬냑향수] 영원한 강자, 꼬냑(Cognac)","18,684,000",3736,"500,000",372명
469,여자 셋이 만든 <노브라 티셔츠> 숨통이 트이는 '숨통티',"48,659,000",3743,"500,000","1,165명"
470,<두 친구 이야기> 대통령 당선일 아침 신문 디자인 뱃지,"37,395,000",3739,"500,000","1,314명"
471,"여성 민주열사를 기억하는, <파란여성 프로젝트>","18,566,100",3713,"500,000","1,392명"
472,신기방기 발 포즈집 - 1000개 이상의 3D 발 포즈,"37,100,000",3710,"500,000",580명
473,스케치업 웹툰 배경 [로판 섬 왕국 패키지],"37,086,000",3708,"500,000",316명
474,[스케치업배경] 왕궁침실과 물위의정원 set,"36,915,000",3691,"500,000",535명
475,웹툰 스케치업 배경 - 홍대 거리,"18,450,009",3690,"500,000",205명
476,"나무와 흙, 낙엽이 전하는 3가지 ""가을"" 숲속 향기","18,448,340",3689,"500,000",311명
477,"아홉번 매혹되는 향기, 구미호가 품은 향수","18,399,204",3679,"500,000",448명
478,영원한 우리들의 여정을 기억해! '반려동물 털 목걸이',"36,757,490",3675,"500,000",499명
479,감독이 참여한 첫 공식 도서 <크리스토퍼 놀란>,"36,734,800",3673,"500,000",918명
480,"이세계의 모든 빛을 담은 보석, 오팔","18,333,700",3666,"500,000",180명
481,"언제나 내 품에, 보들보들 why bear 노트북파우치!","29,273,500",3659,"500,000",702명
482,내 손 안에 작은 도자기 '고려청자 케이스',"18,255,500",3651,"500,000",685명
483,야망100%충전 : 도서 All About Ambition,"18,255,000",3651,"500,000",869명
484,어른이들을 위한 “마음 학습지” #심리 #상담,"36,469,000",3646,"500,000",811명
485,[스케치업] 자동차/연예인 롱밴/외제차/슈퍼카,"36,417,500",3641,"500,000",332명
486,앤트 웹툰 스케치업 #1 - 중세 저택내부,"36,402,000",3640,"500,000",591명
487,[촛불뱃지] 어둠은 빛을 이길 수 없다,"14,526,100",3631,"500,000","1,036명"
488,딸기와 담배는 언제나 널 떠오르게 해 < 레더베리 >,"36,302,500",3630,"500,000",972명
489,"여성의 모든 일이 편안하길, 클래식 니플커버","36,259,000",3625,"500,000","1,467명"
490,노브라로 입는 편하고 예쁜 홈웨어 '프리찌' 겨울시즌,"46,399,000",3624,"500,000",491명
491,웹툰 일러스트를 위한 프릴 레이스와 장식 브러쉬!,"18,081,000",3616,"500,000",520명
492,"프리랜서, 창작자의 불규칙한 수입관리","10,831,200",3610,"500,000",333명
493,"Paper Ring ""메세지를 전하다""","17,859,400",3571,"500,000",309명
494,"꽃이 차오르는 봄날의 찻잔, 봄잔","28,532,500",3566,"500,000",692명
495,[과자와 생활-3] 리리키친의 접시,"7,114,000",3557,"500,000",245명
496,공장 자체제작 실용적인 디자인의 쌍둥이 크로스백,"35,498,500",3549,"500,000","2,172명"
497,"월간커피, 민초단 모여라! 민트 초코맛 콜드브루 커피","17,675,000",3535,"500,000","1,118명"
498,카세트테이프의 새로운 쓰임새 '테잎테잎(TAPETAPE)',"35,318,000",3531,"500,000","1,441명"
499,[스케치업] 로판 일러스트를 위한 평민들의 집,"17,626,000",3525,"500,000",508명
500,[스케치업]자동차 2탄/외제차/국산차/경차,"35,207,500",3520,"500,000",284명
501,지금 바로 할 수 있는 투잡 41가지,"35,085,000",3508,"500,000","1,561명"
502,"귀차니즘 필수 아이템, 요일 티셔츠","34,924,000",3492,"500,000",778명
503,[스냅툰] 자연배경 세트,"34,916,000",3491,"500,000",480명
504,치약 아니고 민트! 리베르 민트비누향 섬유향수.,"17,260,600",3452,"500,000",927명
505,세렌 웹툰 스케치업#9 아현동 반지하 주택가&친정 단독주택,"34,487,000",3448,"500,000",384명
506,"초가집 웹툰배경 스케치업(소품, 선비집, 주막, 저잣거리)","34,441,000",3444,"500,000",457명
507,돌고래에게 자유를,"68,880,089",3444,"500,000","3,205명"
508,고퀄리티 2D 배경 소스 210종 (하늘&나무&돌&풀),"34,411,000",3441,"500,000",328명
509,재미있는 영화 클리셰 사전 <여자 주인공만 모른다>,"34,351,000",3435,"500,000","2,220명"
510,웹툰용 메신저 프로그램(EnableToon),"34,320,000",3432,"500,000",847명
511,"내 폰, 놓치지 않을꺼예요. 그 어디에도 없던 '하이루프'","17,139,500",3427,"500,000","1,108명"
512,내 곁에 숨겨진 이야기 [The fairy ring],"17,139,000",3427,"500,000",379명
513,"한복의 새로운 탄생, <하나의> 한복점프수트","34,200,000",3420,"500,000",210명
514,쉽게 만드는 누아르풍 웹툰과 일러스트 소재&효과,"17,095,000",3419,"500,000",524명
515,웹툰을 위한 스케치업 프로젝트 - 대학교,"33,900,000",3390,"500,000",339명
516,"타로카드, 내 몸에 지니는 주얼리가 되다","16,948,000",3389,"500,000",255명
517,신비롭고 달콤한 연금술의 묘약<엘릭서>,"16,843,250",3368,"500,000",393명
518,"10대 역술인 김사주와 만드는 “개인 맞춤형 운명 책자""","33,657,000",3365,"500,000",984명
519,'일상의 모험가'들에게 영감을 주는 향기 <원더러스트>,"16,779,900",3355,"500,000",294명
520,나답게 일하고 싶은 사람들에게 <퍼스널 브랜딩 툴킷>,"16,692,350",3338,"500,000",300명
521,나만의 스타일로 만드는 스토리 '웹소설 워크북',"16,684,800",3336,"500,000",989명
522,인어도감 연재작 '인어기행문' 제 3권,"29,995,000",3332,"500,000",811명
523,[웹툰]사계절 유럽(판타지)마을 (외관+실내3종),"33,180,000",3318,"500,000",420명
524,웹툰과 일러스트를 위한 의상 패턴 소재,"3,310,000",3310,"500,000",333명
525,"내 손 안에 새롭게 깃든 신, <Ring of honor>","33,096,000",3309,"500,000",184명
526,"타투처럼 영원히 몸에 새기고싶은 향, 야생 백장미 향수","16,488,500",3297,"500,000",373명
527,레몬 짓이긴 샹그리아에 '석양'의 향기를 담다. -레몬발루,"16,434,000",3286,"500,000",418명
528,바른자세 무중력 소프트 방석v2,"32,819,500",3281,"500,000",723명
529,실무자가 알려주는 굿즈 제조업체 500선,"65,637,800",3281,"500,000","2,291명"
530,"""암시반지"" 세상에 하나뿐인 내가 보는 각인반지.","16,342,000",3268,"500,000",360명
531,로맨스 판타지 웹툰을 위한 패턴과 문양브러쉬,"65,291,000",3264,"500,000","1,499명"
